modelo,tecnica,f1,sharpe,win_rate,profit_factor,max_dd
LR,recency (τ=999999 d),0.4042,0.9468,0.5222,1.2881,-0.45
XGBoost,recency (τ=3000 d),0.3642,0.0288,0.4831,1.0067,-0.5608
