modelo,tipo,ticker,experimento,lookback,test_f1_macro,test_f1_buy,test_f1_sell,test_f1_hold,test_f1_buy_sell_avg,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
LR,por_ticker,AAPL,A,,0.3938,0.315,0.3522,0.5143,0.3336,25.4,41.1,33.5,0.4812,0.3562,1.325,-0.1803,0.4726,1.3939
LR,por_ticker,NVDA,A,,0.4185,0.2963,0.4096,0.5495,0.353,16.1,41.5,42.3,1.9171,1.5608,2.3971,-0.2706,0.5793,1.762
LR,por_ticker,TSLA,A,,0.4076,0.303,0.4277,0.4921,0.3654,25.4,33.5,41.1,1.2171,1.0189,1.4236,-0.2492,0.5455,1.3497
LR,por_ticker,AMZN,A,,0.4226,0.3582,0.4096,0.5,0.3839,25.0,39.5,35.5,0.6157,0.5598,1.6164,-0.1327,0.5733,1.4496
LR,por_ticker,MSFT,A,,0.4076,0.3401,0.315,0.5676,0.3275,31.9,47.2,21.0,-0.0598,-0.233,-0.2899,-0.254,0.5038,0.9288
LR,por_ticker,GOOGL,A,,0.4196,0.3784,0.2787,0.6018,0.3285,28.2,51.6,20.2,0.0503,-0.613,0.1914,-0.245,0.5083,1.0464
LR,por_ticker,META,A,,0.4097,0.4138,0.3529,0.4624,0.3834,41.1,36.3,22.6,0.4061,0.2913,0.999,-0.3154,0.5127,1.2612
LR,global,GLOBAL,A,,0.4109,0.3543,0.3575,0.521,0.3559,26.7,41.6,31.7,14.3901,11.191,1.067,-0.5506,0.5281,1.2957
XGBoost,por_ticker,AAPL,A,,0.3837,0.2857,0.336,0.5294,0.3109,27.8,52.4,19.8,0.3667,0.2418,1.1313,-0.1192,0.5169,1.3869
XGBoost,por_ticker,NVDA,A,,0.3801,0.304,0.3625,0.4739,0.3332,23.0,37.1,39.9,0.943,0.5867,1.618,-0.2992,0.5833,1.4285
XGBoost,por_ticker,TSLA,A,,0.4065,0.3824,0.3396,0.4975,0.361,27.0,37.5,35.5,0.4622,0.2641,0.6997,-0.286,0.5613,1.1634
XGBoost,por_ticker,AMZN,A,,0.3521,0.3741,0.3086,0.3736,0.3413,27.0,33.9,39.1,0.1929,0.137,0.6052,-0.264,0.5,1.1458
XGBoost,por_ticker,MSFT,A,,0.4251,0.4027,0.381,0.4916,0.3918,32.7,29.8,37.5,0.219,0.0458,0.8974,-0.2262,0.5115,1.2223
XGBoost,por_ticker,GOOGL,A,,0.3436,0.3537,0.2577,0.4194,0.3057,27.8,35.5,36.7,-0.3098,-0.9731,-1.4493,-0.4052,0.4375,0.7375
XGBoost,por_ticker,META,A,,0.3415,0.3357,0.3234,0.3656,0.3295,28.6,36.3,35.1,0.1998,0.085,0.5384,-0.2058,0.4937,1.1403
XGBoost,global,GLOBAL,A,,0.3961,0.3458,0.3568,0.4857,0.3513,27.0,36.3,36.6,3.3239,0.1247,0.5747,-0.4639,0.505,1.1432
LSTM,por_ticker,AAPL,A,20.0,0.3433,0.44,0.0282,0.5617,0.2341,39.9,58.8,1.3,0.532,0.3289,1.8463,-0.1428,0.617,1.7503
LSTM,por_ticker,NVDA,A,20.0,0.154,0.087,0.375,0.0,0.231,3.5,0.0,96.5,-0.0898,-0.6978,-0.2303,-0.532,0.4649,0.9602
LSTM,por_ticker,TSLA,A,20.0,0.2024,0.4388,0.0571,0.1111,0.248,93.9,3.5,2.6,0.1561,-0.0283,0.2528,-0.4774,0.5227,1.045
LSTM,por_ticker,AMZN,A,20.0,0.3508,0.4046,0.2095,0.4382,0.3071,47.8,38.6,13.6,0.2569,0.2775,0.8774,-0.2823,0.5143,1.219
LSTM,por_ticker,MSFT,A,20.0,0.3916,0.2727,0.4469,0.4551,0.3598,21.1,29.8,49.1,0.1578,-0.0373,0.7524,-0.2038,0.5437,1.1839
LSTM,por_ticker,GOOGL,A,20.0,0.38,0.3724,0.2647,0.5029,0.3186,33.3,35.5,31.1,-0.1619,-0.7277,-0.7119,-0.2716,0.4694,0.8633
LSTM,por_ticker,META,A,20.0,0.3595,0.3238,0.323,0.4316,0.3234,18.4,43.9,37.7,0.6349,0.6771,1.5889,-0.1615,0.5078,1.51
LSTM,global,GLOBAL,A,20.0,0.3451,0.3936,0.1107,0.531,0.2521,46.2,46.7,7.1,-0.0516,-3.0737,-0.0239,-0.5425,0.5118,0.9939
CNN,por_ticker,AAPL,A,20.0,0.2946,0.3473,0.3046,0.2319,0.326,47.4,16.2,36.4,0.0779,-0.1252,0.2681,-0.2299,0.5288,1.0618
CNN,por_ticker,NVDA,A,20.0,0.3015,0.0,0.402,0.5026,0.201,0.0,33.3,66.7,-0.1693,-0.7773,-0.4873,-0.3916,0.4737,0.9017
CNN,por_ticker,TSLA,A,20.0,0.408,0.3851,0.4029,0.4359,0.394,42.5,24.6,32.9,0.7104,0.526,0.9979,-0.2427,0.5116,1.2163
CNN,por_ticker,AMZN,A,20.0,0.3714,0.3973,0.2095,0.5073,0.3034,36.0,50.4,13.6,0.1954,0.216,0.7194,-0.2071,0.5044,1.197
CNN,por_ticker,MSFT,A,20.0,0.3871,0.3855,0.26,0.5158,0.3228,45.6,39.9,14.5,0.1412,-0.0538,0.7002,-0.148,0.5474,1.184
CNN,por_ticker,GOOGL,A,20.0,0.3788,0.4742,0.1266,0.5355,0.3004,54.8,39.0,6.1,0.3337,-0.2321,1.1735,-0.2231,0.554,1.2812
CNN,por_ticker,META,A,20.0,0.3602,0.4,0.3206,0.36,0.3603,49.1,26.3,24.6,0.7552,0.7974,1.7026,-0.1726,0.5179,1.4648
CNN,global,GLOBAL,A,20.0,0.3236,0.4,0.0165,0.5542,0.2082,47.2,51.6,1.3,0.4005,-2.6216,0.1608,-0.4718,0.5162,1.0438
CNN-LSTM,por_ticker,AAPL,A,20.0,0.3531,0.2883,0.2838,0.4873,0.286,22.8,42.1,35.1,-0.2627,-0.4658,-1.1456,-0.371,0.4545,0.7375
CNN-LSTM,por_ticker,NVDA,A,20.0,0.3022,0.0,0.3646,0.5421,0.1823,0.0,43.4,56.6,-0.2397,-0.8477,-0.7538,-0.4187,0.4574,0.8389
CNN-LSTM,por_ticker,TSLA,A,20.0,0.4129,0.4268,0.2766,0.5354,0.3517,43.9,43.0,13.2,0.4685,0.2841,0.762,-0.2427,0.5308,1.1886
