modelo,tipo,ticker,experimento,lookback,test_f1_macro,test_f1_buy,test_f1_sell,test_f1_hold,test_f1_buy_sell_avg,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
CNN-LSTM,por_ticker,AMZN,A,20.0,0.3833,0.4,0.2095,0.5403,0.3048,33.3,53.1,13.6,0.3303,0.3509,1.1201,-0.2144,0.486,1.3242
CNN-LSTM,por_ticker,MSFT,A,20.0,0.3699,0.3115,0.272,0.5263,0.2917,26.3,48.2,25.4,0.0065,-0.1886,0.0348,-0.2091,0.5085,1.0092
CNN-LSTM,por_ticker,GOOGL,A,20.0,0.39,0.4106,0.2837,0.4756,0.3471,36.0,30.7,33.3,-0.1586,-0.7244,-0.6548,-0.2879,0.4684,0.8763
CNN-LSTM,por_ticker,META,A,20.0,0.361,0.1882,0.3484,0.5463,0.2683,9.6,55.3,35.1,0.267,0.3091,0.7957,-0.271,0.4804,1.2452
CNN-LSTM,global,GLOBAL,A,20.0,0.3641,0.3794,0.2871,0.4257,0.3333,35.7,31.0,33.3,0.2169,-2.8052,0.0837,-0.5342,0.4932,1.0191
LSTM,por_ticker,AAPL,A,60.0,0.3578,0.4242,0.1212,0.5281,0.2727,46.3,47.9,5.9,0.1733,-0.0544,0.7903,-0.2064,0.602,1.2477
LSTM,por_ticker,NVDA,A,60.0,0.1194,0.0,0.3581,0.0,0.179,0.0,0.0,100.0,-0.4128,-1.1157,-1.6923,-0.5445,0.4521,0.7374
LSTM,por_ticker,TSLA,A,60.0,0.1884,0.4279,0.0,0.1373,0.214,94.7,5.3,0.0,0.6578,-0.0349,1.1466,-0.2155,0.5449,1.2268
LSTM,por_ticker,AMZN,A,60.0,0.3329,0.4571,0.3299,0.2115,0.3935,64.9,12.8,22.3,0.4725,0.2625,1.538,-0.1464,0.5671,1.3595
LSTM,por_ticker,MSFT,A,60.0,0.3699,0.1818,0.4183,0.5096,0.3001,6.4,39.4,54.3,0.0834,-0.1989,0.5039,-0.2296,0.4912,1.1351
LSTM,por_ticker,GOOGL,A,60.0,0.2679,0.4138,0.3429,0.0471,0.3783,30.9,1.6,67.6,-0.2506,-1.2543,-1.2116,-0.426,0.4757,0.8075
LSTM,por_ticker,META,A,60.0,0.3048,0.2338,0.3194,0.3613,0.2766,14.4,40.4,45.2,0.201,0.062,0.6958,-0.1882,0.5,1.2035
LSTM,global,GLOBAL,A,60.0,0.3891,0.2739,0.3709,0.5225,0.3224,14.7,45.4,39.9,4.4764,-7.0555,0.9645,-0.3917,0.5104,1.2837
CNN,por_ticker,AAPL,A,60.0,0.2863,0.2957,0.0,0.5631,0.1478,37.2,62.8,0.0,-0.0523,-0.28,-0.253,-0.2299,0.5571,0.917
CNN,por_ticker,NVDA,A,60.0,0.409,0.3455,0.3784,0.5032,0.3619,31.9,30.9,37.2,0.3491,-0.3537,1.0145,-0.1524,0.5385,1.2429
CNN,por_ticker,TSLA,A,60.0,0.344,0.381,0.3434,0.3077,0.3622,51.1,20.2,28.7,0.9622,0.2695,1.6288,-0.2154,0.56,1.3828
CNN,por_ticker,AMZN,A,60.0,0.3284,0.4027,0.2991,0.2833,0.3509,51.1,21.3,27.7,0.4839,0.2739,1.7421,-0.1464,0.5203,1.4399
CNN,por_ticker,MSFT,A,60.0,0.1423,0.0,0.4268,0.0,0.2134,0.0,0.0,100.0,-0.2202,-0.5025,-1.4282,-0.3482,0.4468,0.7561
CNN,por_ticker,GOOGL,A,60.0,0.3549,0.3962,0.3291,0.3393,0.3627,25.5,16.0,58.5,-0.2272,-1.2309,-1.1106,-0.4174,0.4873,0.8092
CNN,por_ticker,META,A,60.0,0.3959,0.3248,0.4202,0.4429,0.3725,35.6,32.4,31.9,0.1374,-0.0016,0.4984,-0.2074,0.4961,1.1233
CNN,global,GLOBAL,A,60.0,0.3606,0.3293,0.2206,0.5318,0.275,23.3,51.2,25.5,0.0425,-11.4894,0.0246,-0.3652,0.4673,1.0068
CNN-LSTM,por_ticker,AAPL,A,60.0,0.3209,0.3252,0.1463,0.4912,0.2358,41.5,44.1,14.4,-0.274,-0.5017,-1.4017,-0.3687,0.4857,0.6752
CNN-LSTM,por_ticker,NVDA,A,60.0,0.2927,0.0,0.3815,0.4967,0.1908,0.0,29.8,70.2,-0.341,-1.0439,-1.4142,-0.4888,0.447,0.738
CNN-LSTM,por_ticker,TSLA,A,60.0,0.3068,0.2326,0.2576,0.4304,0.2451,18.6,35.1,46.3,-0.3227,-1.0154,-1.009,-0.416,0.418,0.8002
CNN-LSTM,por_ticker,AMZN,A,60.0,0.3841,0.3838,0.2,0.5685,0.2919,24.5,62.2,13.3,0.3309,0.1209,1.4064,-0.1464,0.507,1.5159
CNN-LSTM,por_ticker,MSFT,A,60.0,0.2967,0.2532,0.4388,0.198,0.346,13.3,9.6,77.1,0.0313,-0.251,0.1788,-0.2512,0.4824,1.0375
CNN-LSTM,por_ticker,GOOGL,A,60.0,0.3907,0.3261,0.2745,0.5714,0.3003,18.1,53.2,28.7,-0.0775,-1.0812,-0.4374,-0.2197,0.5,0.8958
CNN-LSTM,por_ticker,META,A,60.0,0.3534,0.2558,0.3186,0.4859,0.2872,19.1,52.1,28.7,0.052,-0.087,0.2052,-0.1755,0.4778,1.0616
CNN-LSTM,global,GLOBAL,A,60.0,0.3764,0.3601,0.277,0.4921,0.3186,31.2,40.8,28.0,2.4611,-9.0709,0.6859,-0.46,0.5019,1.1865
LR,por_ticker,AAPL,B,,0.3838,0.2903,0.3333,0.5278,0.3118,24.2,43.5,32.3,0.303,0.178,0.9083,-0.2438,0.5071,1.261
LR,por_ticker,NVDA,B,,0.4211,0.2609,0.4049,0.5975,0.3329,9.7,49.2,41.1,1.1713,0.815,1.7542,-0.2693,0.5476,1.5485
LR,por_ticker,TSLA,B,,0.3598,0.1982,0.4064,0.4747,0.3023,16.9,36.3,46.8,-0.1719,-0.37,-0.3412,-0.4881,0.5127,0.9286
LR,por_ticker,AMZN,B,,0.4297,0.297,0.4694,0.5226,0.3832,11.7,40.7,47.6,0.7,0.6441,1.7075,-0.1304,0.5578,1.4823
LR,por_ticker,MSFT,B,,0.3758,0.2857,0.2877,0.5541,0.2867,20.6,50.8,28.6,0.0001,-0.1731,0.0007,-0.2489,0.4426,1.0002
LR,por_ticker,GOOGL,B,,0.3835,0.3025,0.3871,0.4607,0.3448,16.5,37.5,46.0,0.0631,-0.6002,0.2251,-0.3243,0.5161,1.0493
LR,por_ticker,META,B,,0.3865,0.3576,0.254,0.5479,0.3058,31.9,49.6,18.5,-0.0918,-0.2066,-0.3038,-0.3341,0.424,0.926
LR,global,GLOBAL,B,,0.3847,0.2783,0.3638,0.512,0.321,18.1,44.0,37.9,5.6039,2.4047,0.755,-0.4704,0.4969,1.2095
XGBoost,por_ticker,AAPL,B,,0.3361,0.2573,0.3252,0.4257,0.2913,43.1,37.9,19.0,0.0801,-0.0448,0.2654,-0.2386,0.513,1.0703
XGBoost,por_ticker,NVDA,B,,0.3382,0.2906,0.324,0.4,0.3073,19.8,32.7,47.6,0.7685,0.4122,1.4057,-0.373,0.5389,1.3554
XGBoost,por_ticker,TSLA,B,,0.4414,0.4348,0.3846,0.505,0.4097,27.8,37.9,34.3,2.0097,1.8115,2.0576,-0.1997,0.6039,1.5597
XGBoost,por_ticker,AMZN,B,,0.3901,0.3885,0.3626,0.4194,0.3755,27.0,35.5,37.5,0.1889,0.133,0.5672,-0.2052,0.5312,1.1389
XGBoost,por_ticker,MSFT,B,,0.3986,0.3724,0.3871,0.4364,0.3798,31.0,24.2,44.8,-0.0128,-0.186,-0.0561,-0.2166,0.4734,0.9881
XGBoost,por_ticker,GOOGL,B,,0.336,0.3286,0.2857,0.3936,0.3071,25.0,36.3,38.7,-0.2094,-0.8727,-0.8848,-0.3501,0.4873,0.824
XGBoost,por_ticker,META,B,,0.3469,0.3699,0.271,0.4,0.3204,29.8,39.9,30.2,0.2686,0.1538,0.7074,-0.1765,0.4698,1.1928
XGBoost,global,GLOBAL,B,,0.3862,0.3381,0.3672,0.4534,0.3526,28.3,33.8,37.9,1.3669,-1.8323,0.3448,-0.4319,0.4996,1.0827
LSTM,por_ticker,AAPL,B,20.0,0.383,0.3063,0.2857,0.5571,0.296,22.8,51.8,25.4,-0.1019,-0.305,-0.4217,-0.2862,0.4909,0.8883
LSTM,por_ticker,NVDA,B,20.0,0.3278,0.0988,0.25,0.6347,0.1744,8.8,68.4,22.8,-0.2418,-0.8498,-0.8465,-0.3277,0.4444,0.7707
LSTM,por_ticker,TSLA,B,20.0,0.2318,0.4247,0.1013,0.1695,0.263,85.5,7.9,6.6,-0.0043,-0.1887,-0.0075,-0.4979,0.519,0.9987
LSTM,por_ticker,AMZN,B,20.0,0.3352,0.4043,0.2157,0.3855,0.31,54.4,33.3,12.3,0.3476,0.3682,1.133,-0.2931,0.5395,1.28
LSTM,por_ticker,MSFT,B,20.0,0.3527,0.1389,0.4356,0.4835,0.2873,4.4,36.4,59.2,0.1053,-0.0897,0.5283,-0.2196,0.4621,1.133
LSTM,por_ticker,GOOGL,B,20.0,0.3867,0.4497,0.1067,0.6038,0.2782,43.9,51.8,4.4,0.0421,-0.5237,0.1805,-0.2231,0.5182,1.0436
LSTM,por_ticker,META,B,20.0,0.3458,0.1842,0.4124,0.4409,0.2983,5.7,42.1,52.2,0.3474,0.3896,0.9251,-0.2981,0.5076,1.2629
LSTM,global,GLOBAL,B,20.0,0.3617,0.3347,0.1872,0.563,0.261,32.2,54.8,13.0,-0.2465,-3.2686,-0.1352,-0.5569,0.4945,0.9637
CNN,por_ticker,AAPL,B,20.0,0.3632,0.3182,0.2261,0.5455,0.2721,32.0,47.4,20.6,-0.0461,-0.2492,-0.1762,-0.258,0.4917,0.9534
CNN,por_ticker,NVDA,B,20.0,0.3163,0.3727,0.0,0.5761,0.1863,43.9,56.1,0.0,0.1639,-0.4441,0.4418,-0.3268,0.52,1.1255
CNN,por_ticker,TSLA,B,20.0,0.4057,0.3623,0.2697,0.5852,0.316,32.5,56.6,11.0,0.4807,0.2963,0.8209,-0.23,0.5556,1.2372
CNN,por_ticker,AMZN,B,20.0,0.3251,0.3478,0.093,0.5345,0.2204,32.5,62.3,5.3,0.0203,0.0409,0.0851,-0.2194,0.4767,1.025
CNN,por_ticker,MSFT,B,20.0,0.2724,0.2667,0.026,0.5246,0.1463,32.0,63.6,4.4,0.0224,-0.1726,0.1317,-0.1491,0.4699,1.044
CNN,por_ticker,GOOGL,B,20.0,0.32,0.336,0.0,0.6241,0.168,24.6,75.4,0.0,-0.0643,-0.63,-0.3542,-0.1742,0.4821,0.8902
CNN,por_ticker,META,B,20.0,0.304,0.3566,0.0,0.5556,0.1783,28.9,71.1,0.0,0.1231,0.1652,0.4586,-0.2262,0.5,1.1665
CNN,global,GLOBAL,B,20.0,0.3434,0.4023,0.1127,0.5153,0.2575,48.9,44.6,6.5,0.3064,-2.7157,0.1213,-0.4343,0.5102,1.0309
CNN-LSTM,por_ticker,AAPL,B,20.0,0.1763,0.3955,0.0,0.1333,0.1978,91.7,8.3,0.0,0.2378,0.0347,0.7462,-0.3022,0.5407,1.1731
CNN-LSTM,por_ticker,NVDA,B,20.0,0.3109,0.0,0.3,0.6327,0.15,0.0,70.2,29.8,-0.0516,-0.6596,-0.163,-0.2333,0.4706,0.9498
CNN-LSTM,por_ticker,TSLA,B,20.0,0.3519,0.2353,0.4257,0.3947,0.3305,16.7,22.8,60.5,0.2012,0.0168,0.3397,-0.4398,0.5114,1.0685
CNN-LSTM,por_ticker,AMZN,B,20.0,0.4181,0.3566,0.375,0.5226,0.3658,28.5,47.8,23.7,0.5739,0.5945,1.7925,-0.1502,0.5294,1.5417
CNN-LSTM,por_ticker,MSFT,B,20.0,0.3294,0.058,0.3684,0.5617,0.2132,3.1,59.6,37.3,-0.0933,-0.2884,-0.5609,-0.2345,0.4674,0.8436
CNN-LSTM,por_ticker,GOOGL,B,20.0,0.3153,0.3333,0.0,0.6125,0.1667,22.4,77.6,0.0,0.0243,-0.5415,0.1399,-0.1668,0.5098,1.0484
CNN-LSTM,por_ticker,META,B,20.0,0.3462,0.2069,0.3556,0.4762,0.2812,10.5,43.4,46.1,-0.0411,0.0011,-0.1295,-0.265,0.4651,0.968
CNN-LSTM,global,GLOBAL,B,20.0,0.3835,0.3308,0.2734,0.5462,0.3021,22.3,53.2,24.5,0.3678,-2.6543,0.1467,-0.4033,0.5047,1.0408
LSTM,por_ticker,AAPL,B,60.0,0.351,0.3019,0.1842,0.567,0.243,32.4,56.4,11.2,-0.1302,-0.3579,-0.6222,-0.3464,0.5366,0.8249
LSTM,por_ticker,NVDA,B,60.0,0.3011,0.0377,0.3625,0.5031,0.2001,1.6,35.1,63.3,-0.304,-1.0068,-1.2592,-0.4477,0.4508,0.7537
LSTM,por_ticker,TSLA,B,60.0,0.2913,0.3529,0.2667,0.2542,0.3098,54.3,13.8,31.9,-0.1339,-0.8266,-0.3348,-0.3979,0.4815,0.9391
LSTM,por_ticker,AMZN,B,60.0,0.2493,0.4393,0.125,0.1837,0.2821,85.6,9.6,4.8,0.3218,0.1118,1.1531,-0.1464,0.5588,1.2458
LSTM,por_ticker,MSFT,B,60.0,0.3153,0.0,0.4364,0.5096,0.2182,0.0,39.4,60.6,-0.0981,-0.3805,-0.6602,-0.2296,0.4737,0.8457
LSTM,por_ticker,GOOGL,B,60.0,0.4147,0.4386,0.234,0.5714,0.3363,29.8,45.7,24.5,0.0315,-0.9722,0.1603,-0.2531,0.5098,1.0376
LSTM,por_ticker,META,B,60.0,0.3643,0.3371,0.336,0.4198,0.3365,20.7,44.1,35.1,0.6711,0.5321,1.9182,-0.1581,0.5524,1.7051
LSTM,global,GLOBAL,B,60.0,0.37,0.3013,0.2861,0.5225,0.2937,24.0,47.1,28.9,1.1594,-10.3725,0.4327,-0.4064,0.4914,1.12
CNN,por_ticker,AAPL,B,60.0,0.2989,0.3091,0.0,0.5877,0.1545,34.6,65.4,0.0,-0.0581,-0.2858,-0.2825,-0.2299,0.5385,0.906
CNN,por_ticker,NVDA,B,60.0,0.227,0.0,0.3553,0.3256,0.1777,0.0,17.0,83.0,-0.4206,-1.1235,-1.7991,-0.5506,0.4359,0.701
CNN,por_ticker,TSLA,B,60.0,0.2756,0.0,0.4,0.4267,0.2,0.0,30.9,69.1,-0.2195,-0.9122,-0.6158,-0.4016,0.4769,0.8778
CNN,por_ticker,AMZN,B,60.0,0.2327,0.4369,0.2381,0.0233,0.3375,81.4,3.2,15.4,0.4841,0.2741,1.6505,-0.1464,0.544,1.3606
CNN,por_ticker,MSFT,B,60.0,0.2792,0.2737,0.0,0.5639,0.1368,21.8,76.6,1.6,0.2022,-0.0801,1.3733,-0.0803,0.5682,1.8262
CNN,por_ticker,GOOGL,B,60.0,0.3283,0.0,0.3871,0.5979,0.1935,0.0,59.6,40.4,-0.1722,-1.1759,-1.129,-0.2379,0.4605,0.7375
CNN,por_ticker,META,B,60.0,0.291,0.0,0.4286,0.4444,0.2143,0.0,34.6,65.4,-0.2764,-0.4154,-1.2715,-0.4077,0.5041,0.7356
CNN,global,GLOBAL,B,60.0,0.3344,0.3805,0.2152,0.4077,0.2978,50.5,33.4,16.2,1.308,-10.2239,0.4729,-0.4408,0.5416,1.1207
CNN-LSTM,por_ticker,AAPL,B,60.0,0.3249,0.2655,0.2151,0.4941,0.2403,36.2,43.6,20.2,-0.2718,-0.4995,-1.3935,-0.3628,0.4717,0.6753
CNN-LSTM,por_ticker,NVDA,B,60.0,0.2505,0.0,0.3626,0.3889,0.1813,0.0,25.0,75.0,-0.2952,-0.9981,-1.1897,-0.4442,0.4539,0.7781
CNN-LSTM,por_ticker,TSLA,B,60.0,0.2465,0.2143,0.32,0.2051,0.2671,17.6,13.3,69.1,-0.4206,-1.1134,-1.3149,-0.4517,0.4663,0.7791
CNN-LSTM,por_ticker,AMZN,B,60.0,0.3748,0.3969,0.2889,0.4387,0.3429,41.5,39.9,18.6,0.3623,0.1523,1.3398,-0.1387,0.5664,1.3807
CNN-LSTM,por_ticker,MSFT,B,60.0,0.3103,0.0351,0.4094,0.4865,0.2222,1.6,34.6,63.8,-0.0029,-0.2852,-0.0182,-0.2688,0.439,0.9955
CNN-LSTM,por_ticker,GOOGL,B,60.0,0.2142,0.0,0.3452,0.2975,0.1726,0.0,20.7,79.3,-0.5484,-1.5521,-3.6616,-0.5839,0.4094,0.4757
CNN-LSTM,por_ticker,META,B,60.0,0.2847,0.0702,0.3289,0.4551,0.1996,3.7,46.8,49.5,-0.289,-0.428,-1.265,-0.3942,0.42,0.706
CNN-LSTM,global,GLOBAL,B,60.0,0.3761,0.3106,0.2226,0.5951,0.2666,17.1,65.4,17.5,2.158,-9.374,0.7256,-0.4342,0.5209,1.2606
LR,por_ticker,AAPL,C,,0.3686,0.3172,0.3056,0.4831,0.3114,32.7,39.9,27.4,0.1952,0.0703,0.6111,-0.1285,0.5168,1.1663
LR,por_ticker,NVDA,C,,0.299,0.0,0.4184,0.4787,0.2092,0.4,27.8,71.8,-0.0738,-0.4301,-0.1636,-0.4478,0.4804,0.9662
LR,por_ticker,TSLA,C,,0.3587,0.2581,0.3958,0.4222,0.3269,22.2,29.0,48.8,0.3244,0.1263,0.4928,-0.381,0.4943,1.1057
LR,por_ticker,AMZN,C,,0.3856,0.2366,0.4732,0.4469,0.3549,8.5,32.7,58.9,0.4929,0.437,1.2732,-0.182,0.5449,1.3199
LR,por_ticker,MSFT,C,,0.3824,0.2456,0.3394,0.5622,0.2925,18.5,45.2,36.3,-0.1048,-0.278,-0.5221,-0.311,0.4118,0.879
LR,por_ticker,GOOGL,C,,0.3583,0.2712,0.4082,0.3956,0.3397,16.1,33.9,50.0,0.1837,-0.4796,0.5927,-0.2913,0.5244,1.1347
LR,por_ticker,META,C,,0.3572,0.3827,0.1935,0.4952,0.2881,36.3,46.0,17.7,-0.3261,-0.4409,-1.2998,-0.442,0.4179,0.7307
LR,global,GLOBAL,C,,0.4007,0.3136,0.3551,0.5335,0.3343,21.3,47.2,31.5,11.036,7.8368,1.0232,-0.4449,0.5131,1.2971
XGBoost,por_ticker,AAPL,C,,0.3385,0.275,0.3065,0.434,0.2907,38.7,41.9,19.4,0.1819,0.057,0.5883,-0.1454,0.5556,1.1706
XGBoost,por_ticker,NVDA,C,,0.3716,0.2407,0.3915,0.4824,0.3161,16.1,32.3,51.6,-0.0129,-0.3693,-0.0284,-0.4463,0.5119,0.9938
XGBoost,por_ticker,TSLA,C,,0.3951,0.4082,0.3165,0.4607,0.3623,31.5,33.5,35.1,0.242,0.0439,0.3917,-0.349,0.5394,1.0857
XGBoost,por_ticker,AMZN,C,,0.3774,0.3611,0.3669,0.4044,0.364,29.0,34.3,36.7,0.2206,0.1647,0.674,-0.2109,0.5337,1.1612
XGBoost,por_ticker,MSFT,C,,0.3313,0.2479,0.3269,0.4192,0.2874,21.4,25.0,53.6,-0.2938,-0.467,-1.5328,-0.351,0.4032,0.717
XGBoost,por_ticker,GOOGL,C,,0.3279,0.2707,0.3275,0.3854,0.2991,22.2,37.9,39.9,-0.2007,-0.864,-0.8752,-0.2855,0.5,0.8209
XGBoost,por_ticker,META,C,,0.321,0.3586,0.2905,0.314,0.3246,29.4,30.6,39.9,0.0013,-0.1136,0.0037,-0.2975,0.4244,1.0009
XGBoost,global,GLOBAL,C,,0.373,0.3407,0.3526,0.4256,0.3467,29.2,31.7,39.1,1.5956,-1.6036,0.377,-0.4278,0.5004,1.0901
LSTM,por_ticker,AAPL,C,20.0,0.3218,0.4286,0.0779,0.459,0.2532,60.1,36.0,3.9,0.2452,0.0421,0.8068,-0.3022,0.5616,1.2236
LSTM,por_ticker,NVDA,C,20.0,0.2772,0.0,0.37,0.4615,0.185,0.0,35.1,64.9,-0.1633,-0.7713,-0.4782,-0.3817,0.4595,0.9007
LSTM,por_ticker,TSLA,C,20.0,0.2987,0.3738,0.0571,0.4651,0.2155,65.8,31.6,2.6,-0.2433,-0.4277,-0.5263,-0.4244,0.4872,0.8967
LSTM,por_ticker,AMZN,C,20.0,0.3634,0.3411,0.2157,0.5333,0.2784,28.5,59.2,12.3,0.1189,0.1395,0.4689,-0.2212,0.4731,1.1389
LSTM,por_ticker,MSFT,C,20.0,0.311,0.2937,0.1593,0.48,0.2265,35.5,44.3,20.2,-0.15,-0.345,-0.8891,-0.188,0.4567,0.7951
LSTM,por_ticker,GOOGL,C,20.0,0.377,0.4161,0.1149,0.6,0.2655,35.1,55.3,9.6,0.1162,-0.4495,0.4663,-0.2243,0.4804,1.123
LSTM,por_ticker,META,C,20.0,0.3096,0.0312,0.4103,0.4873,0.2208,0.4,46.9,52.6,0.124,0.1662,0.3879,-0.2846,0.4711,1.1055
LSTM,global,GLOBAL,C,20.0,0.3702,0.3565,0.2806,0.4735,0.3186,34.5,38.3,27.1,0.4494,-2.5727,0.1627,-0.6315,0.4959,1.039
CNN,por_ticker,AAPL,C,20.0,0.137,0.4111,0.0,0.0,0.2056,100.0,0.0,0.0,0.2031,0.0,0.6341,-0.3022,0.5395,1.1377
CNN,por_ticker,NVDA,C,20.0,0.2857,0.0,0.4036,0.4535,0.2018,0.0,25.0,75.0,-0.2699,-0.8779,-0.8096,-0.4653,0.4561,0.8506
