modelo,tipo,ticker,experimento,C,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_sell,test_f1_buy_sell_avg,signal_pct_buy,signal_pct_hold,signal_pct_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test,config_id,fuente,lookback,n_features,l1_ratio,n_seeds,test_f1_hold,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell
LogisticRegression,por_ticker,AMZN,B,0.001,0.3378,0.3077,0.2017,0.3389,0.4043,0.2326,0.3184,46.8,32.7,20.6,0.1138,-0.6735,0.4431,-0.281,0.503,1.0913,BASELINE,baseline,,,,,,,,,
LogisticRegression,por_ticker,MSFT,B,0.01,0.3223,0.2805,0.2439,0.3257,0.3352,0.1803,0.2578,44.8,36.3,19.0,0.5648,-0.0155,2.1821,-0.0831,0.6013,1.5762,BASELINE,baseline,,,,,,,,,
LogisticRegression,por_ticker,GOOGL,B,0.001,0.3272,0.3681,0.1386,0.3959,0.4,0.193,0.2965,33.1,50.0,16.9,0.1362,-0.4373,0.5981,-0.106,0.5323,1.1544,BASELINE,baseline,,,,,,,,,
LogisticRegression,por_ticker,META,B,1.0,0.3544,0.3407,0.2464,0.3516,0.3737,0.288,0.3309,50.8,31.0,18.1,0.1801,-1.6924,0.6957,-0.3002,0.5263,1.1448,BASELINE,baseline,,,,,,,,,
LogisticRegression,por_ticker,AAPL,C,0.001,0.318,0.3881,0.2344,0.3385,0.427,0.1441,0.2856,46.0,39.9,14.1,0.5467,0.1446,2.5834,-0.1051,0.6242,1.7826,BASELINE,baseline,,,,,,,,,
LogisticRegression,por_ticker,NVDA,C,0.1,0.3479,0.3729,0.3019,0.3959,0.3034,0.3256,0.3145,31.0,41.5,27.4,1.4883,-0.4176,2.3176,-0.1768,0.5931,1.6871,BASELINE,baseline,,,,,,,,,
LogisticRegression,por_ticker,TSLA,C,0.001,0.2309,0.3478,0.3448,0.296,0.3372,0.2194,0.2783,41.5,24.6,33.9,0.8354,0.0073,1.1078,-0.3338,0.4813,1.2542,BASELINE,baseline,,,,,,,,,
LogisticRegression,por_ticker,AMZN,C,0.01,0.3218,0.3097,0.2793,0.3377,0.3117,0.2667,0.2892,33.1,44.0,23.0,-0.2448,-0.7591,-1.2674,-0.2583,0.3885,0.7388,BASELINE,baseline,,,,,,,,,
LogisticRegression,por_ticker,MSFT,C,0.001,0.3389,0.3043,0.243,0.3418,0.3667,0.1468,0.2567,45.2,41.1,13.7,0.0094,-0.1807,0.058,-0.1462,0.5205,1.0128,BASELINE,baseline,,,,,,,,,
LogisticRegression,por_ticker,GOOGL,C,0.01,0.3317,0.2945,0.3291,0.4254,0.4211,0.3312,0.3761,29.8,35.9,34.3,0.061,-0.3598,0.2468,-0.2085,0.5157,1.0566,BASELINE,baseline,,,,,,,,,
LogisticRegression,por_ticker,META,C,0.01,0.3812,0.3669,0.3922,0.3114,0.3656,0.237,0.3013,46.0,31.9,22.2,0.0869,-0.6621,0.3439,-0.2689,0.4793,1.0733,BASELINE,baseline,,,,,,,,,
LogisticRegression,global,GLOBAL,A,0.001,0.344,,,0.3562,0.3784,0.1988,0.2886,38.7,47.1,14.2,2.9708,-4.7714,0.2952,-0.5358,0.507,1.0748,BASELINE,baseline,,,,,,,,,
LogisticRegression,global,GLOBAL,B,0.01,0.3284,,,0.3912,0.3838,0.2909,0.3373,38.4,40.5,21.1,1.1542,-112.3555,0.3278,-0.5511,0.4898,1.0807,BASELINE,baseline,,,,,,,,,
LogisticRegression,global,GLOBAL,C,0.1,0.3389,,,0.3748,0.3828,0.2728,0.3278,41.5,38.2,20.3,1.4533,-19.3361,0.4279,-0.3887,0.521,1.1102,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,AAPL,A,,0.3879,0.3322,0.2974,0.3675,0.3095,0.3236,0.3166,22.2,45.8,32.0,0.5623,0.0774,0.939,-0.1705,0.5203,1.2785,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,NVDA,A,,0.4062,0.3824,0.3916,0.3754,0.3116,0.3425,0.327,24.8,45.4,29.8,1.5477,-1.3479,1.1032,-0.4417,0.5421,1.2945,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,TSLA,A,,0.3886,0.3776,0.3321,0.3681,0.3258,0.3419,0.3338,22.4,45.4,32.2,0.7622,-0.067,0.5828,-0.5197,0.5604,1.1485,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,AMZN,A,,0.3615,0.4216,0.2469,0.3837,0.32,0.3121,0.316,25.4,48.2,26.4,0.0735,-0.4774,0.1376,-0.2766,0.4942,1.0343,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,MSFT,A,,0.3897,0.4236,0.2393,0.3404,0.3631,0.1468,0.2549,39.4,47.0,13.6,-0.1483,-0.4824,-0.4424,-0.3089,0.5245,0.8949,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,GOOGL,A,,0.4103,0.4321,0.3013,0.3987,0.3505,0.3659,0.3582,27.2,39.0,33.8,0.0447,-1.244,0.0887,-0.2312,0.518,1.0195,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,META,A,,0.3883,0.3853,0.3333,0.4131,0.3897,0.3544,0.3721,26.2,41.4,32.4,0.7482,-0.1883,0.8482,-0.3352,0.5017,1.2388,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,AAPL,B,,0.4026,0.3846,0.3892,0.3594,0.2797,0.3231,0.3014,31.9,46.4,21.8,-0.0653,-0.1902,-0.2376,-0.3458,0.4962,0.9367,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,NVDA,B,,0.4175,0.3485,0.4204,0.3476,0.2903,0.381,0.3356,22.6,25.8,51.6,0.6251,0.2688,1.1621,-0.3939,0.5652,1.2666,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,TSLA,B,,0.3978,0.3623,0.3727,0.3872,0.3439,0.366,0.355,35.5,31.5,33.1,0.62,0.4219,0.8848,-0.3328,0.5588,1.201,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,AMZN,B,,0.439,0.3459,0.4472,0.4033,0.403,0.3736,0.3883,25.0,33.1,41.9,0.082,0.0261,0.2546,-0.2859,0.512,1.0585,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,MSFT,B,,0.3861,0.2537,0.3951,0.3669,0.3101,0.3487,0.3294,24.6,27.0,48.4,-0.2237,-0.3969,-1.1449,-0.3737,0.4309,0.7766,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,GOOGL,B,,0.4056,0.3025,0.4581,0.3716,0.3741,0.3548,0.3645,24.6,29.4,46.0,0.0165,-0.6468,0.0574,-0.2636,0.52,1.0118,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,META,B,,0.3562,0.2476,0.3776,0.3615,0.3008,0.3544,0.3276,24.6,44.0,31.5,0.3238,0.209,0.9169,-0.223,0.482,1.2607,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,AAPL,C,,0.3965,0.3704,0.359,0.3862,0.2615,0.3597,0.3106,26.6,48.0,25.4,-0.1343,-0.2592,-0.5109,-0.3111,0.5504,0.87,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,NVDA,C,,0.4012,0.3134,0.4121,0.3039,0.1849,0.2983,0.2416,20.6,31.0,48.4,-0.6055,-0.9618,-2.1165,-0.6562,0.4269,0.6238,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,TSLA,C,,0.3791,0.3649,0.2812,0.3551,0.3724,0.3656,0.369,30.6,23.0,46.4,0.6596,0.4614,0.8989,-0.3393,0.555,1.195,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,AMZN,C,,0.3848,0.2985,0.349,0.4239,0.3889,0.3648,0.3768,29.0,38.3,32.7,0.3692,0.3133,1.0679,-0.2466,0.549,1.2746,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,MSFT,C,,0.3691,0.2308,0.3602,0.3604,0.304,0.3316,0.3178,23.0,31.9,45.2,-0.0944,-0.2676,-0.4548,-0.2368,0.4734,0.9006,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,GOOGL,C,,0.4106,0.3252,0.3975,0.3456,0.3265,0.3353,0.3309,27.8,31.5,40.7,-0.1435,-0.8068,-0.5633,-0.2459,0.5,0.8881,BASELINE,baseline,,,,,,,,,
XGBoost,por_ticker,META,C,,0.3478,0.2887,0.4409,0.3351,0.2812,0.2927,0.287,22.6,43.5,33.9,0.0852,-0.0296,0.2577,-0.2365,0.4357,1.0666,BASELINE,baseline,,,,,,,,,
XGBoost,global,GLOBAL,A,,0.3954,,,0.3825,0.3465,0.3326,0.3395,27.7,39.1,33.3,1.7559,-94.2758,0.2114,-0.6727,0.5082,1.052,BASELINE,baseline,,,,,,,,,
XGBoost,global,GLOBAL,B,,0.3821,,,0.3694,0.3093,0.3693,0.3393,26.1,30.8,43.1,-0.4419,-3.641,-0.2284,-0.686,0.5067,0.9495,BASELINE,baseline,,,,,,,,,
XGBoost,global,GLOBAL,C,,0.3826,,,0.362,0.3044,0.3426,0.3235,22.8,32.1,45.1,-0.7988,-3.998,-0.6244,-0.8646,0.464,0.8678,BASELINE,baseline,,,,,,,,,
LSTM,por_ticker,AAPL,A,,0.4048,,,0.3287,0.2041,0.2569,0.2305,12.3,57.5,30.2,-0.3983,-0.9377,-1.8344,-0.4318,0.3922,0.6271,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,NVDA,A,,0.2534,,,0.203,0.0274,0.0,0.0137,0.6,99.4,0.0,0.0129,-2.7243,0.272,-0.0182,0.3333,1.6969,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,TSLA,A,,0.2624,,,0.271,0.0,0.303,0.1515,0.0,74.2,25.8,-0.6146,-1.3461,-1.6676,-0.6409,0.4194,0.5797,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,AMZN,A,,0.2679,,,0.281,0.4169,0.4261,0.4215,34.2,0.0,65.8,0.277,-0.2829,0.4038,-0.2633,0.5167,1.0737,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,MSFT,A,,0.3163,,,0.3287,0.2982,0.4314,0.3648,20.0,15.2,64.8,0.0306,-0.3014,0.0823,-0.2186,0.4988,1.0157,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,GOOGL,A,,0.347,,,0.324,0.296,0.1356,0.2158,21.0,72.1,6.9,0.1258,-1.169,0.3607,-0.1836,0.5746,1.1204,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,META,A,,0.3328,,,0.2581,0.2139,0.0,0.107,11.2,88.8,0.0,-0.0907,-0.9528,-0.4651,-0.181,0.5926,0.8005,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,AAPL,B,,0.3495,,,0.3605,0.3852,0.2114,0.2983,33.3,42.5,24.1,-0.2339,-0.4001,-1.1734,-0.2934,0.4656,0.7283,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,NVDA,B,,0.2437,,,0.2093,0.33,0.2979,0.3139,61.0,0.0,39.0,-0.3402,-0.6413,-0.8981,-0.4731,0.4737,0.8494,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,TSLA,B,,0.1741,,,0.1461,0.4384,0.0,0.2192,100.0,0.0,0.0,0.1341,0.0,0.2149,-0.4819,0.5088,1.0376,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,AMZN,B,,0.3045,,,0.296,0.4062,0.0267,0.2165,56.1,43.4,0.4,-0.0918,-0.1538,-0.4685,-0.2233,0.4961,0.901,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,MSFT,B,,0.3577,,,0.3618,0.2903,0.2655,0.2779,27.2,52.6,20.2,0.1562,-0.0152,1.0409,-0.1071,0.5741,1.316,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,GOOGL,B,,0.2996,,,0.3297,0.4103,0.0,0.2051,38.2,61.8,0.0,0.1733,-0.4945,0.7494,-0.2493,0.5057,1.2363,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,META,B,,0.2994,,,0.3145,0.1127,0.4,0.2563,3.5,46.1,50.4,0.0313,-0.0407,0.1274,-0.1973,0.4634,1.0327,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,AAPL,C,,0.2663,,,0.2727,0.4602,0.0,0.2301,73.2,26.8,0.0,0.1751,0.0089,0.6388,-0.1935,0.521,1.1589,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,NVDA,C,,0.1693,,,0.1238,0.0,0.3714,0.1857,0.0,0.0,100.0,-0.2314,-0.5326,-0.568,-0.5445,0.4605,0.9019,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,TSLA,C,,0.1741,,,0.1461,0.4384,0.0,0.2192,100.0,0.0,0.0,0.1341,0.0,0.2149,-0.4819,0.5088,1.0376,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,AMZN,C,,0.3112,,,0.2727,0.3858,0.0,0.1929,58.3,41.7,0.0,-0.0569,-0.1189,-0.2805,-0.2346,0.5113,0.9407,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,MSFT,C,,0.272,,,0.3079,0.0,0.463,0.2315,0.0,34.6,65.4,0.1528,-0.0186,0.9109,-0.0804,0.4966,1.2184,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,GOOGL,C,,0.2943,,,0.3181,0.3758,0.0,0.1879,35.1,64.9,0.0,-0.0082,-0.676,-0.047,-0.2558,0.4625,0.9868,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,META,C,,0.3028,,,0.3556,0.2045,0.3694,0.287,11.0,53.1,36.0,0.4894,0.4174,1.711,-0.1717,0.5981,1.6002,BASELINE,baseline,20.0,,,,,,,,
LSTM,por_ticker,AAPL,A,,0.3587,,,0.3231,0.1967,0.2066,0.2016,13.0,67.5,19.5,-0.3053,-0.707,-1.5332,-0.3401,0.4126,0.621,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,NVDA,A,,0.2612,,,0.2055,0.0299,0.0,0.0149,1.1,98.9,0.0,-0.0335,-2.9306,-0.5653,-0.0629,0.2,0.4756,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,TSLA,A,,0.2394,,,0.2278,0.0,0.1208,0.0604,0.0,95.0,5.0,-0.1962,-0.9265,-0.6998,-0.2869,0.4545,0.5563,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,AMZN,A,,0.3187,,,0.332,0.3622,0.3546,0.3584,27.5,21.1,51.4,0.3312,-0.1329,0.6097,-0.1859,0.487,1.1281,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,MSFT,A,,0.314,,,0.2929,0.3804,0.0138,0.1971,51.8,46.6,1.6,0.2962,-0.1169,1.0936,-0.1266,0.5702,1.2817,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,GOOGL,A,,0.3618,,,0.3502,0.2574,0.2487,0.2531,15.2,71.1,13.6,-0.0961,-0.8841,-0.3564,-0.1724,0.4961,0.8889,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,META,A,,0.3327,,,0.3004,0.3204,0.0142,0.1673,19.1,79.8,1.1,-0.0786,-1.1431,-0.3213,-0.1427,0.4719,0.879,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,AAPL,B,,0.2907,,,0.315,0.4234,0.0,0.2117,48.9,51.1,0.0,-0.1892,-0.2511,-1.1478,-0.2967,0.4565,0.7246,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,NVDA,B,,0.1744,,,0.1194,0.0,0.3581,0.179,0.0,0.0,100.0,-0.263,-0.6198,-0.7688,-0.5008,0.4468,0.8663,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,TSLA,B,,0.2678,,,0.1703,0.4126,0.0984,0.2555,91.5,0.0,8.5,-0.2153,-0.3486,-0.4822,-0.522,0.484,0.9196,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,AMZN,B,,0.2866,,,0.266,0.4335,0.069,0.2512,79.8,18.6,1.6,0.0227,0.0259,0.1051,-0.2317,0.5294,1.0209,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,MSFT,B,,0.2952,,,0.339,0.0984,0.3824,0.2404,3.7,51.1,45.2,-0.1075,-0.3503,-1.0939,-0.1503,0.4239,0.7508,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,GOOGL,B,,0.2749,,,0.3699,0.3696,0.1356,0.2526,18.1,76.1,5.9,-0.0871,-0.3865,-0.945,-0.1351,0.3556,0.7177,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,META,B,,0.2062,,,0.2207,0.0952,0.0,0.0476,6.9,93.1,0.0,-0.0484,-0.2369,-1.2891,-0.0591,0.4615,0.4361,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,AAPL,C,,0.2452,,,0.2025,0.4057,0.0,0.2028,88.8,11.2,0.0,0.0027,-0.0592,0.0104,-0.3022,0.509,1.0022,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,NVDA,C,,0.1744,,,0.1194,0.0,0.3581,0.179,0.0,0.0,100.0,-0.263,-0.6198,-0.7688,-0.5008,0.4468,0.8663,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,TSLA,C,,0.1818,,,0.1423,0.4268,0.0,0.2134,100.0,0.0,0.0,0.1333,0.0,0.2487,-0.4819,0.5053,1.0442,BASELINE,baseline,60.0,,,,,,,,
