modelo,tipo,ticker,experimento,C,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_sell,test_f1_buy_sell_avg,signal_pct_buy,signal_pct_hold,signal_pct_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test,config_id,fuente,lookback,n_features,l1_ratio,n_seeds,test_f1_hold,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell
LSTM,por_ticker,AMZN,C,,0.3114,,,0.3035,0.4054,0.0345,0.2199,50.5,47.9,1.6,0.016,0.0192,0.1004,-0.1382,0.5204,1.0256,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,MSFT,C,,0.3293,,,0.3617,0.1449,0.4403,0.2926,8.0,34.6,57.4,-0.1928,-0.4356,-1.8511,-0.2112,0.4553,0.6528,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,GOOGL,C,,0.2831,,,0.341,0.4202,0.0,0.2101,32.4,67.6,0.0,0.008,-0.2914,0.0781,-0.132,0.541,1.0229,BASELINE,baseline,60.0,,,,,,,,
LSTM,por_ticker,META,C,,0.2887,,,0.2722,0.0,0.3709,0.1854,0.0,51.1,48.9,-0.2708,-0.4593,-2.2298,-0.3688,0.4239,0.5958,BASELINE,baseline,60.0,,,,,,,,
LSTM,global,GLOBAL,A,,0.3021,,,0.2996,0.4112,0.0,0.2056,50.1,49.9,0.0,15.9234,-85.1883,0.7506,-0.6395,0.5458,1.2255,BASELINE,baseline,20.0,,,,,,,,
LSTM,global,GLOBAL,B,,0.3205,,,0.3345,0.3996,0.0627,0.2312,41.0,56.2,2.8,2.6345,-0.7845,0.757,-0.3761,0.5494,1.2418,BASELINE,baseline,20.0,,,,,,,,
LSTM,global,GLOBAL,C,,0.3604,,,0.3763,0.3406,0.2971,0.3188,27.1,43.8,29.1,-0.2496,-3.6686,-0.1448,-0.7041,0.4972,0.964,BASELINE,baseline,20.0,,,,,,,,
LSTM,global,GLOBAL,A,,0.299,,,0.2906,0.3118,0.0,0.1559,23.5,76.4,0.1,12.7336,-50.4757,1.1158,-0.2503,0.564,1.5712,BASELINE,baseline,60.0,,,,,,,,
LSTM,global,GLOBAL,B,,0.2991,,,0.3158,0.3788,0.0,0.1894,35.6,64.4,0.0,0.862,-0.0444,0.5252,-0.3176,0.5406,1.1722,BASELINE,baseline,60.0,,,,,,,,
LSTM,global,GLOBAL,C,,0.3327,,,0.3596,0.3945,0.2817,0.3381,44.6,28.3,27.1,0.6893,-0.217,0.2803,-0.4673,0.5207,1.0644,BASELINE,baseline,60.0,,,,,,,,
CNN-LSTM,por_ticker,AAPL,A,,0.4073,,,0.3407,0.2479,0.3536,0.3007,20.2,30.6,49.2,0.0956,-0.4438,0.221,-0.2318,0.4505,1.0495,BASELINE,baseline,20.0,,,,,,,,
CNN-LSTM,por_ticker,NVDA,A,,0.3225,,,0.2564,0.1991,0.0,0.0995,14.2,85.4,0.4,0.205,-2.5321,0.471,-0.1657,0.5571,1.2098,BASELINE,baseline,20.0,,,,,,,,
CNN-LSTM,por_ticker,TSLA,A,,0.3693,,,0.3351,0.3491,0.1413,0.2452,25.8,65.0,9.2,1.2399,0.5084,1.0468,-0.4547,0.506,1.3761,BASELINE,baseline,20.0,,,,,,,,
CNN-LSTM,por_ticker,AMZN,A,,0.3312,,,0.3027,0.1778,0.1604,0.1691,7.7,83.3,9.0,-0.1845,-0.7444,-0.7911,-0.2254,0.4375,0.7195,BASELINE,baseline,20.0,,,,,,,,
CNN-LSTM,por_ticker,MSFT,A,,0.3247,,,0.3027,0.3497,0.0,0.1748,32.1,67.3,0.6,-0.057,-0.389,-0.2566,-0.1974,0.5096,0.926,BASELINE,baseline,20.0,,,,,,,,
CNN-LSTM,por_ticker,GOOGL,A,,0.368,,,0.3255,0.2562,0.2612,0.2587,19.4,50.0,30.6,-0.3576,-1.6523,-1.0211,-0.4965,0.5083,0.7839,BASELINE,baseline,20.0,,,,,,,,
CNN-LSTM,por_ticker,META,A,,0.3707,,,0.2844,0.2316,0.0494,0.1405,11.9,86.0,2.1,0.2015,-0.6606,0.608,-0.1493,0.6269,1.357,BASELINE,baseline,20.0,,,,,,,,
CNN-LSTM,por_ticker,AAPL,B,,0.3144,,,0.3035,0.3111,0.0494,0.1802,33.3,61.0,5.7,0.1913,0.0251,0.9082,-0.1306,0.573,1.3723,BASELINE,baseline,20.0,,,,,,,,
CNN-LSTM,por_ticker,NVDA,B,,0.332,,,0.2468,0.3584,0.2014,0.2799,49.1,12.7,38.2,-0.3861,-0.6872,-1.1365,-0.5065,0.4472,0.801,BASELINE,baseline,20.0,,,,,,,,
CNN-LSTM,por_ticker,TSLA,B,,0.3587,,,0.284,0.3978,0.2621,0.33,53.5,11.0,35.5,-0.2329,-0.367,-0.4726,-0.3416,0.4581,0.9171,BASELINE,baseline,20.0,,,,,,,,
CNN-LSTM,por_ticker,AMZN,B,,0.4432,,,0.374,0.3252,0.3636,0.3444,25.9,29.4,44.7,-0.1238,-0.1858,-0.5176,-0.217,0.4783,0.9,BASELINE,baseline,20.0,,,,,,,,
CNN-LSTM,por_ticker,MSFT,B,,0.3103,,,0.2995,0.3378,0.0,0.1689,37.7,61.4,0.9,-0.1774,-0.3488,-1.5964,-0.1952,0.4545,0.6227,BASELINE,baseline,20.0,,,,,,,,
CNN-LSTM,por_ticker,GOOGL,B,,0.3624,,,0.3422,0.4654,0.3353,0.4003,39.5,13.2,47.4,-0.4758,-1.1435,-2.2884,-0.586,0.4293,0.6526,BASELINE,baseline,20.0,,,,,,,,
CNN-LSTM,por_ticker,META,B,,0.3304,,,0.3322,0.4,0.0732,0.2366,42.5,54.4,3.1,0.229,0.157,0.9876,-0.2441,0.6058,1.3034,BASELINE,baseline,20.0,,,,,,,,
CNN-LSTM,por_ticker,AAPL,C,,0.2959,,,0.2973,0.2157,0.0732,0.1444,18.9,75.0,6.1,0.188,0.0218,1.0412,-0.0847,0.5263,1.6243,BASELINE,baseline,20.0,,,,,,,,
CNN-LSTM,por_ticker,NVDA,C,,0.2676,,,0.2779,0.3822,0.2278,0.305,71.9,16.2,11.8,-0.0466,-0.3478,-0.1383,-0.4145,0.5183,0.9753,BASELINE,baseline,20.0,,,,,,,,
