modelo,A,B,C
LR,0.38,0.4167,0.3955
XGBoost,0.3917,0.3903,0.3835
LSTM,0.3388,0.37,0.3702
CNN,0.3483,0.3434,0.3727
CNN-LSTM,0.3283,0.378,0.346
