modelo,A,B,C
LR,-0.32901428571428565,-0.2665285714285714,-0.3241428571428572
XGBoost,-0.29978571428571427,-0.25485714285714284,-0.3107428571428571
LSTM,-0.33454285714285714,-0.2965285714285714,-0.30032857142857144
CNN,-0.2723857142857143,-0.22970000000000002,-0.26887142857142854
CNN-LSTM,-0.3058571428571429,-0.33152857142857145,-0.20285714285714285
