modelo,A,B,C
LR,0.3544714285714286,0.39558571428571426,0.3573142857142857
XGBoost,0.37244285714285713,0.3692285714285714,0.3611714285714286
LSTM,0.36565714285714285,0.35007142857142853,0.32568571428571425
CNN,0.31461428571428574,0.33675714285714287,0.27994285714285716
CNN-LSTM,0.33321428571428574,0.3472142857142857,0.36005714285714285
