modelo,experimento,tipo,ticker,lookback,F1_macro,F1_BUY,F1_SELL,F1_HOLD,Win_Rate,Profit_Factor,Max_Drawdown,Sharpe,Cum_Return
LSTM,A,por_ticker,AAPL,20.0,0.3515,0.2557,0.2318,0.5669,0.5058,0.8433,-0.3097,-0.5488,-0.1886
LSTM,A,por_ticker,NVDA,60.0,0.3844,0.2797,0.3064,0.5672,0.4695,0.7707,-0.6308,-1.0536,-0.5421
LSTM,A,por_ticker,TSLA,60.0,0.3634,0.2365,0.3359,0.5178,0.5445,1.2459,-0.4707,0.8552,1.038
LSTM,A,por_ticker,AMZN,20.0,0.3506,0.2146,0.2921,0.5451,0.4757,0.9695,-0.2423,-0.1112,-0.0459
LSTM,A,por_ticker,MSFT,20.0,0.3972,0.3282,0.4072,0.456,0.5538,1.2,-0.1249,0.8299,0.3615
LSTM,A,por_ticker,GOOGL,60.0,0.37,0.2396,0.3905,0.48,0.4542,0.9703,-0.3072,-0.1406,-0.0575
LSTM,A,por_ticker,META,20.0,0.3425,0.3764,0.0952,0.556,0.48,0.9422,-0.2562,-0.1995,-0.0957
LSTM,B,global,GLOBAL,60.0,0.37,0.3013,0.2861,0.5225,0.4914,1.12,-0.4064,0.4327,1.1594
LSTM,B,por_ticker,AAPL,20.0,0.383,0.3063,0.2857,0.5571,0.4909,0.8883,-0.2862,-0.4217,-0.1019
LSTM,B,por_ticker,NVDA,20.0,0.3278,0.0988,0.25,0.6347,0.4444,0.7707,-0.3277,-0.8465,-0.2418
LSTM,B,por_ticker,TSLA,60.0,0.2913,0.3529,0.2667,0.2542,0.4815,0.9391,-0.3979,-0.3348,-0.1339
LSTM,B,por_ticker,AMZN,20.0,0.3352,0.4043,0.2157,0.3855,0.5395,1.28,-0.2931,1.133,0.3476
LSTM,B,por_ticker,MSFT,20.0,0.3527,0.1389,0.4356,0.4835,0.4621,1.133,-0.2196,0.5283,0.1053
LSTM,B,por_ticker,GOOGL,60.0,0.4147,0.4386,0.234,0.5714,0.5098,1.0376,-0.2531,0.1603,0.0315
LSTM,B,por_ticker,META,20.0,0.3458,0.1842,0.4124,0.4409,0.5076,1.2629,-0.2981,0.9251,0.3474
LSTM,C,global,GLOBAL,20.0,0.3702,0.3565,0.2806,0.4735,0.4959,1.039,-0.6315,0.1627,0.4494
LSTM,C,por_ticker,AAPL,20.0,0.3218,0.4286,0.0779,0.459,0.5616,1.2236,-0.3022,0.8068,0.2452
LSTM,C,por_ticker,NVDA,20.0,0.2772,0.0,0.37,0.4615,0.4595,0.9007,-0.3817,-0.4782,-0.1633
LSTM,C,por_ticker,TSLA,20.0,0.2987,0.3738,0.0571,0.4651,0.4872,0.8967,-0.4244,-0.5263,-0.2433
LSTM,C,por_ticker,AMZN,20.0,0.3634,0.3411,0.2157,0.5333,0.4731,1.1389,-0.2212,0.4689,0.1189
LSTM,C,por_ticker,MSFT,60.0,0.3318,0.1017,0.3465,0.5474,0.4691,0.8125,-0.2374,-0.6833,-0.0963
LSTM,C,por_ticker,GOOGL,20.0,0.377,0.4161,0.1149,0.6,0.4804,1.123,-0.2243,0.4663,0.1162
LSTM,C,por_ticker,META,60.0,0.3099,0.2947,0.3827,0.2521,0.5,0.9963,-0.3111,-0.0162,-0.0045
CNN,A,global,GLOBAL,20.0,0.3483,0.3748,0.1479,0.522,0.5291,1.0784,-0.5138,0.2666,2.001
CNN,A,por_ticker,AAPL,20.0,0.3264,0.2041,0.1753,0.6,0.4727,0.9107,-0.2807,-0.2347,-0.0852
CNN,A,por_ticker,NVDA,20.0,0.2889,0.3791,0.388,0.0995,0.4934,1.0529,-0.3366,0.2882,0.319
CNN,A,por_ticker,TSLA,20.0,0.3854,0.2972,0.3184,0.5408,0.5271,1.3012,-0.3982,1.0335,1.4248
CNN,A,por_ticker,AMZN,20.0,0.3373,0.3008,0.173,0.5383,0.5244,1.1209,-0.1868,0.3776,0.171
CNN,A,por_ticker,MSFT,20.0,0.286,0.3404,0.0,0.5176,0.533,1.1046,-0.1503,0.3548,0.1167
CNN,A,por_ticker,GOOGL,60.0,0.3165,0.3813,0.0408,0.5275,0.5478,1.0903,-0.1792,0.314,0.1054
CNN,A,por_ticker,META,20.0,0.2618,0.4297,0.2105,0.1453,0.5125,1.0434,-0.3749,0.2118,0.1587
CNN,B,global,GLOBAL,20.0,0.3434,0.4023,0.1127,0.5153,0.5102,1.0309,-0.4343,0.1213,0.3064
CNN,B,por_ticker,AAPL,20.0,0.3632,0.3182,0.2261,0.5455,0.4917,0.9534,-0.258,-0.1762,-0.0461
CNN,B,por_ticker,NVDA,20.0,0.3163,0.3727,0.0,0.5761,0.52,1.1255,-0.3268,0.4418,0.1639
