modelo,A,B,C
LR,1.0903,1.378,1.1939
XGBoost,1.21,1.1012,1.0964
LSTM,1.0576,1.12,1.039
CNN,1.0784,1.0309,0.9241
CNN-LSTM,1.071,1.0226,1.0723
