modelo,A,B,C
LR,-0.6928,-0.4191,-0.4998
XGBoost,-0.441,-0.4416,-0.4685
LSTM,-0.4488,-0.4064,-0.6315
CNN,-0.5138,-0.4343,-0.6664
CNN-LSTM,-0.4713,-0.457,-0.442
