modelo,A,B,C
LR,1.0354285714285714,1.2082428571428572,1.0169
XGBoost,1.1884428571428571,1.2225285714285714,1.0696142857142856
LSTM,0.9917,1.0445142857142857,1.0131
CNN,1.0891428571428572,1.0381,1.0114142857142858
CNN-LSTM,0.9919285714285715,0.9463285714285714,1.1199142857142856
