modelo,A,B,C
LR,0.49752857142857143,0.5059,0.4830857142857143
XGBoost,0.5332714285714285,0.5094714285714286,0.4862
LSTM,0.4976428571428571,0.49082857142857145,0.49012857142857147
CNN,0.5158428571428572,0.49778571428571433,0.48662857142857147
CNN-LSTM,0.5030142857142857,0.48691428571428574,0.4999142857142857
