modelo,tipo,ticker,experimento,lookback,test_f1_macro,test_f1_buy,test_f1_sell,test_f1_hold,test_f1_buy_sell_avg,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
CNN-LSTM,por_ticker,AAPL,A,20.0,0.2596,0.0278,0.4177,0.3333,0.2227,1.5,24.6,74.0,-0.3053,-0.8002,-0.75,-0.421,0.442,0.8466
CNN-LSTM,por_ticker,NVDA,A,20.0,0.2888,0.0,0.4833,0.3831,0.2417,0.0,23.1,76.9,-0.1368,-2.1866,-0.1637,-0.3288,0.4878,0.9685
CNN-LSTM,por_ticker,TSLA,A,20.0,0.2227,0.0373,0.412,0.2189,0.2246,2.1,15.8,82.1,-0.6247,-2.051,-0.8793,-0.7062,0.4827,0.8497
CNN-LSTM,por_ticker,AMZN,A,20.0,0.1972,0.0759,0.4399,0.0758,0.2579,3.1,3.8,93.1,-0.2832,-0.7814,-0.5567,-0.342,0.4632,0.9041
CNN-LSTM,por_ticker,MSFT,A,20.0,0.1619,0.0278,0.4578,0.0,0.2428,2.5,0.0,97.5,-0.1866,-0.431,-0.4864,-0.3398,0.4542,0.916
CNN-LSTM,por_ticker,GOOGL,A,20.0,0.3373,0.2707,0.2179,0.5232,0.2443,16.7,59.8,23.5,-0.3136,-1.5707,-0.948,-0.3761,0.4197,0.7751
CNN-LSTM,por_ticker,META,A,20.0,0.202,0.0,0.4749,0.131,0.2375,0.0,7.1,92.9,-0.4178,-1.1367,-0.7729,-0.5102,0.4731,0.8575
CNN-LSTM,global,GLOBAL,A,20.0,0.2856,0.3154,0.4093,0.1321,0.3623,28.2,6.8,65.0,-0.7481,-79.7643,-0.2629,-0.8778,0.4938,0.9498
LSTM,por_ticker,AAPL,A,60.0,0.3189,0.1503,0.2661,0.5403,0.2082,10.7,61.8,27.5,-0.191,-0.7965,-0.5784,-0.2535,0.4464,0.8358
LSTM,por_ticker,NVDA,A,60.0,0.325,0.0432,0.3885,0.5433,0.2159,2.3,55.7,42.0,-0.2207,-1.2973,-0.3738,-0.4649,0.4564,0.9102
LSTM,por_ticker,TSLA,A,60.0,0.2796,0.0,0.3939,0.445,0.197,0.0,53.9,46.1,-0.0906,-1.6757,-0.119,-0.3652,0.5419,0.9703
LSTM,por_ticker,AMZN,A,60.0,0.3134,0.2946,0.1156,0.53,0.2051,20.7,70.7,8.6,0.0951,-0.194,0.2464,-0.2434,0.4961,1.0836
LSTM,por_ticker,MSFT,A,60.0,0.3057,0.3735,0.0276,0.5161,0.2005,48.4,50.0,1.6,0.1091,-0.0647,0.3555,-0.1157,0.5273,1.0907
LSTM,por_ticker,GOOGL,A,60.0,0.33,0.2642,0.1935,0.5322,0.2288,17.5,63.4,19.1,-0.1585,-1.2536,-0.5044,-0.2557,0.4596,0.8711
LSTM,por_ticker,META,A,60.0,0.3208,0.4098,0.2047,0.3478,0.3072,55.5,26.6,18.0,0.2482,-0.1313,0.3869,-0.3752,0.5015,1.0877
LSTM,global,GLOBAL,A,60.0,0.3353,0.397,0.2884,0.3205,0.3427,56.3,21.0,22.7,5.2618,-31.4324,0.3992,-0.5313,0.5257,1.0879
CNN,por_ticker,AAPL,A,60.0,0.2807,0.1384,0.1139,0.5897,0.1261,7.5,85.5,7.0,0.1259,-0.4796,0.426,-0.133,0.5312,1.2463
CNN,por_ticker,NVDA,A,60.0,0.1951,0.0,0.0,0.5852,0.0,0.0,100.0,0.0,0.0,-1.0766,0.0,0.0,0.0,
CNN,por_ticker,TSLA,A,60.0,0.3622,0.2908,0.3958,0.4,0.3433,32.0,32.5,35.5,0.8236,-0.7615,0.6207,-0.5653,0.5354,1.1346
CNN,por_ticker,AMZN,A,60.0,0.3579,0.3064,0.2661,0.5012,0.2862,23.2,58.0,18.9,0.2918,0.0027,0.6733,-0.1866,0.4973,1.1994
CNN,por_ticker,MSFT,A,60.0,0.1958,0.0,0.0,0.5875,0.0,0.0,100.0,0.0,0.0,-0.1738,0.0,0.0,0.0,
CNN,por_ticker,GOOGL,A,60.0,0.3103,0.2077,0.2047,0.5187,0.2062,10.9,70.5,18.6,-0.1117,-1.2068,-0.3956,-0.2181,0.4615,0.8834
CNN,por_ticker,META,A,60.0,0.2494,0.1807,0.0,0.5675,0.0904,10.0,90.0,0.0,0.2218,-0.1577,1.1188,-0.1128,0.5455,1.7907
CNN,global,GLOBAL,A,60.0,0.3605,0.3744,0.217,0.4902,0.2957,37.0,48.7,14.3,30.4347,-6.2595,0.8598,-0.4065,0.5335,1.2557
CNN-LSTM,por_ticker,AAPL,A,60.0,0.3064,0.4485,0.0,0.4706,0.2243,57.5,42.5,0.0,0.5994,-0.0061,1.1001,-0.2788,0.5889,1.3232
CNN-LSTM,por_ticker,NVDA,A,60.0,0.3381,0.0441,0.4494,0.5206,0.2468,1.6,46.8,51.6,0.3215,-0.7551,0.3733,-0.2738,0.4915,1.0926
CNN-LSTM,por_ticker,TSLA,A,60.0,0.3095,0.3683,0.2609,0.2993,0.3146,48.2,23.2,28.6,0.0515,-1.5335,0.0493,-0.5723,0.4882,1.0097
CNN-LSTM,por_ticker,AMZN,A,60.0,0.3413,0.1401,0.4154,0.4685,0.2778,5.5,36.6,58.0,0.0545,-0.2346,0.1126,-0.3097,0.4767,1.0249
CNN-LSTM,por_ticker,MSFT,A,60.0,0.2783,0.0165,0.4839,0.3346,0.2502,0.5,18.2,81.4,-0.0581,-0.2319,-0.16,-0.2301,0.4583,0.9685
CNN-LSTM,por_ticker,GOOGL,A,60.0,0.2367,0.2817,0.4283,0.0,0.355,17.7,0.0,82.3,-0.3277,-1.4229,-0.7459,-0.4626,0.4545,0.8788
CNN-LSTM,por_ticker,META,A,60.0,0.1574,0.0,0.4722,0.0,0.2361,0.0,0.0,100.0,-0.2751,-0.6547,-0.5245,-0.4579,0.4682,0.9077
CNN-LSTM,global,GLOBAL,A,60.0,0.2781,0.3165,0.4175,0.1005,0.367,30.3,5.3,64.4,0.1293,-36.5649,0.0252,-0.7847,0.494,1.0049
LR,por_ticker,AAPL,B,,0.3703,0.2987,0.3356,0.4767,0.3171,36.3,34.3,29.4,0.4357,0.3107,1.2246,-0.1262,0.5153,1.3467
LR,por_ticker,NVDA,B,,0.3847,0.2698,0.4615,0.4229,0.3657,23.4,22.6,54.0,1.1846,0.8283,1.668,-0.2191,0.5365,1.4072
LR,por_ticker,TSLA,B,,0.3346,0.4195,0.3827,0.2016,0.4011,54.8,8.5,36.7,3.1741,2.976,2.3876,-0.1382,0.5463,1.5374
LR,por_ticker,AMZN,B,,0.3395,0.4054,0.3043,0.3088,0.3549,60.5,15.3,24.2,0.0397,-0.0162,0.118,-0.2065,0.5286,1.0233
LR,por_ticker,MSFT,B,,0.3424,0.3497,0.1154,0.5622,0.2325,30.2,58.1,11.7,-0.1108,-0.284,-0.5844,-0.3084,0.4808,0.8449
LR,por_ticker,GOOGL,B,,0.3518,0.4615,0.3478,0.2462,0.4047,41.9,12.9,45.2,0.106,-0.5573,0.3245,-0.3013,0.5185,1.0612
LR,por_ticker,META,B,,0.3366,0.3778,0.3253,0.3067,0.3515,43.5,21.8,34.7,0.1647,0.0499,0.4339,-0.2969,0.4485,1.098
LR,global,GLOBAL,B,,0.3549,0.3698,0.3476,0.3472,0.3587,43.4,20.2,36.4,1.742,-1.4572,0.3773,-0.3661,0.5097,1.0831
XGBoost,por_ticker,AAPL,B,,0.3281,0.3043,0.2435,0.4365,0.2739,48.4,35.9,15.7,0.0665,-0.0584,0.2248,-0.2233,0.5031,1.0583
XGBoost,por_ticker,NVDA,B,,0.3464,0.3333,0.3121,0.3938,0.3227,37.9,29.8,32.3,0.3228,-0.0335,0.7006,-0.35,0.5115,1.1593
XGBoost,por_ticker,TSLA,B,,0.4135,0.443,0.3179,0.4796,0.3804,32.3,35.5,32.3,1.1488,0.9506,1.4074,-0.4251,0.5687,1.3524
XGBoost,por_ticker,AMZN,B,,0.3349,0.359,0.2313,0.4145,0.2951,33.9,38.3,27.8,0.0709,0.015,0.2381,-0.1667,0.5033,1.0567
XGBoost,por_ticker,MSFT,B,,0.3692,0.4306,0.25,0.4271,0.3403,30.6,35.1,34.3,0.3525,0.1793,1.382,-0.0894,0.5217,1.39
XGBoost,por_ticker,GOOGL,B,,0.3836,0.4304,0.2817,0.4388,0.356,32.3,39.5,28.2,0.2117,-0.4516,0.7271,-0.2365,0.5067,1.176
XGBoost,por_ticker,META,B,,0.37,0.349,0.375,0.386,0.362,31.0,30.2,38.7,0.2506,0.1358,0.6507,-0.1718,0.5029,1.1604
