modelo,tipo,ticker,experimento,lookback,test_f1_macro,test_f1_buy,test_f1_sell,test_f1_hold,test_f1_buy_sell_avg,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
CNN,por_ticker,NVDA,B,60.0,0.1194,0.0,0.3581,0.0,0.179,0.0,0.0,100.0,-0.4128,-1.1157,-1.6923,-0.5445,0.4521,0.7374
CNN,por_ticker,TSLA,B,60.0,0.2938,0.3433,0.0,0.5381,0.1716,44.1,55.9,0.0,0.177,-0.5157,0.5654,-0.2155,0.5663,1.1518
CNN,por_ticker,AMZN,B,60.0,0.3416,0.3478,0.2391,0.4379,0.2935,33.0,47.3,19.7,0.4061,0.1961,1.815,-0.1244,0.4848,1.5926
CNN,por_ticker,MSFT,B,60.0,0.2405,0.0656,0.0377,0.6183,0.0517,3.7,95.2,1.1,0.0537,-0.2286,0.5612,-0.0326,0.3333,1.6508
CNN,por_ticker,GOOGL,B,60.0,0.4074,0.4132,0.2982,0.5106,0.3557,33.5,31.4,35.1,-0.1031,-1.1068,-0.5194,-0.2686,0.4651,0.9002
CNN,por_ticker,META,B,60.0,0.3263,0.4295,0.0645,0.4848,0.247,52.7,45.7,1.6,0.7168,0.5778,2.3594,-0.1726,0.5294,1.8616
CNN,global,GLOBAL,B,60.0,0.3584,0.3036,0.2109,0.5609,0.2572,21.1,61.1,17.8,0.567,-10.9649,0.2839,-0.3855,0.5,1.0934
CNN-LSTM,por_ticker,AAPL,B,60.0,0.3394,0.416,0.0351,0.567,0.2255,42.6,56.4,1.1,0.3913,0.1636,1.7224,-0.0847,0.5732,1.7319
CNN-LSTM,por_ticker,NVDA,B,60.0,0.2545,0.1,0.3511,0.3125,0.2255,5.3,16.5,78.2,-0.3187,-1.0216,-1.2638,-0.5328,0.4459,0.7793
CNN-LSTM,por_ticker,TSLA,B,60.0,0.1423,0.4268,0.0,0.0,0.2134,100.0,0.0,0.0,0.6927,0.0,1.1823,-0.2155,0.5372,1.2284
CNN-LSTM,por_ticker,AMZN,B,60.0,0.3494,0.268,0.283,0.4971,0.2755,23.4,49.5,27.1,0.1321,-0.0779,0.5474,-0.2552,0.4632,1.1542
CNN-LSTM,por_ticker,MSFT,B,60.0,0.3391,0.1587,0.313,0.5455,0.2359,4.8,61.2,34.0,0.0945,-0.1878,0.6256,-0.2106,0.5342,1.2265
CNN-LSTM,por_ticker,GOOGL,B,60.0,0.3388,0.3738,0.0,0.6425,0.1869,26.1,73.9,0.0,0.1545,-0.8491,0.9286,-0.0786,0.5102,1.3618
CNN-LSTM,por_ticker,META,B,60.0,0.3354,0.3238,0.137,0.5455,0.2304,29.3,63.3,7.4,0.1736,0.0346,0.6982,-0.1726,0.4928,1.2483
CNN-LSTM,global,GLOBAL,B,60.0,0.3525,0.2928,0.2305,0.534,0.2617,18.2,55.9,25.8,0.3999,-11.1321,0.2132,-0.4683,0.4828,1.065
LR,por_ticker,AAPL,C,,0.3622,0.2958,0.4,0.3908,0.3479,31.5,26.6,41.9,0.6327,0.5077,1.6477,-0.1352,0.489,1.4677
LR,por_ticker,NVDA,C,,0.3793,0.2941,0.3438,0.5,0.3189,27.4,45.6,27.0,0.3169,-0.0394,0.6489,-0.1983,0.5556,1.1761
LR,por_ticker,TSLA,C,,0.3769,0.42,0.4129,0.2979,0.4165,52.8,13.3,33.9,2.3008,2.1026,2.0002,-0.2155,0.5535,1.445
LR,por_ticker,AMZN,C,,0.3661,0.4327,0.3444,0.3212,0.3885,54.8,15.7,29.4,0.4992,0.4433,1.2243,-0.1517,0.5455,1.2675
LR,por_ticker,MSFT,C,,0.365,0.3333,0.2564,0.5053,0.2949,33.1,34.3,32.7,-0.2313,-0.4045,-1.1989,-0.3972,0.411,0.7573
LR,por_ticker,GOOGL,C,,0.3087,0.4585,0.3934,0.0741,0.426,51.2,4.0,44.8,0.6172,-0.0461,1.5321,-0.1966,0.5462,1.3097
LR,por_ticker,META,C,,0.3046,0.402,0.2564,0.2553,0.3292,51.2,18.1,30.6,0.0943,-0.0205,0.2629,-0.3929,0.4433,1.0555
LR,global,GLOBAL,C,,0.3509,0.3766,0.3425,0.3336,0.3595,43.6,20.7,35.7,3.5989,0.3997,0.5715,-0.4154,0.52,1.1295
XGBoost,por_ticker,AAPL,C,,0.3507,0.3468,0.2393,0.466,0.2931,44.0,39.5,16.5,-0.1421,-0.267,-0.5241,-0.3184,0.5467,0.8746
XGBoost,por_ticker,NVDA,C,,0.3363,0.3158,0.2556,0.4375,0.2857,41.5,29.4,29.0,-0.1566,-0.5129,-0.3761,-0.3462,0.52,0.9215
XGBoost,por_ticker,TSLA,C,,0.3426,0.4121,0.2822,0.3333,0.3472,38.7,24.2,37.1,0.6039,0.4058,0.8447,-0.372,0.5213,1.1852
XGBoost,por_ticker,AMZN,C,,0.3437,0.3576,0.2378,0.4356,0.2977,31.9,41.9,26.2,0.0143,-0.0416,0.0503,-0.2018,0.5,1.012
XGBoost,por_ticker,MSFT,C,,0.3615,0.3803,0.3043,0.4,0.3423,29.8,26.2,44.0,-0.0293,-0.2025,-0.1341,-0.2777,0.4809,0.9711
XGBoost,por_ticker,GOOGL,C,,0.3611,0.3774,0.2937,0.4124,0.3355,32.7,38.7,28.6,-0.0057,-0.6691,-0.0221,-0.2484,0.5132,0.9951
XGBoost,por_ticker,META,C,,0.3421,0.3804,0.2716,0.3743,0.326,36.7,30.2,33.1,-0.0058,-0.1206,-0.0169,-0.357,0.4162,0.9962
XGBoost,global,GLOBAL,C,,0.335,0.3997,0.2839,0.3214,0.3418,46.1,20.6,33.4,0.396,-2.8031,0.1248,-0.4316,0.4931,1.027
LSTM,por_ticker,AAPL,C,20.0,0.2828,0.4484,0.0,0.4,0.2242,71.9,28.1,0.0,0.2565,0.0535,0.8316,-0.2932,0.5732,1.2202
