modelo_a,modelo_b,dif,ic_lo,ic_hi,significativa
CNN,CNN-LSTM,0.0179,0.003,0.0326,True
CNN,LR,-0.1431,-0.1692,-0.1155,True
CNN,LSTM,-0.1104,-0.1396,-0.0789,True
CNN,XGBoost,-0.0961,-0.1227,-0.0685,True
CNN-LSTM,LR,-0.1611,-0.1862,-0.1352,True
CNN-LSTM,LSTM,-0.1283,-0.1601,-0.0983,True
CNN-LSTM,XGBoost,-0.1141,-0.141,-0.0868,True
LR,LSTM,0.0327,0.0022,0.0612,True
LR,XGBoost,0.047,0.0206,0.0717,True
LSTM,XGBoost,0.0143,-0.0144,0.044,False
