modelo,f1,ic_lo,ic_hi
CNN,0.2627,0.2457,0.2794
CNN-LSTM,0.2448,0.2296,0.2611
LR,0.4058,0.3824,0.4284
LSTM,0.3731,0.345,0.4016
XGBoost,0.3588,0.3343,0.3827
