modelo,f1,ic_lo,ic_hi
CNN,0.359,0.3316,0.3855
CNN-LSTM,0.3723,0.3464,0.3954
LR,0.4036,0.3788,0.4279
LSTM,0.3688,0.3408,0.3948
XGBoost,0.3591,0.3339,0.3812
