modelo,dataset,exp,tipo,ticker,n_eval,sharpe_5bp,retorno_5bp,turnover_medio,sharpe_10bp,retorno_10bp,test_f1_ens,test_f1_mean,test_f1_std,val_f1_ens,test_f1_buy,test_f1_hold,test_f1_sell,sharpe,win_rate,profit_factor,max_dd,signal_buy,signal_hold,signal_sell
CNN,v1,A,por_ticker,NVDA,248,-0.0452,-0.0219,0.0605,-0.0605,-0.0292,0.1673,0.2119,0.0702,0.1944,0.4255,0.0325,0.044,-0.0299,0.5164,0.9946,-0.3688,86.3,1.6,12.1
CNN,v1,A,por_ticker,TSLA,248,0.7448,0.5864,0.0524,0.7341,0.5762,0.2385,0.2777,0.0258,0.1973,0.3065,0.0,0.4091,0.7554,0.5121,1.1386,-0.4021,22.2,0.0,77.8
CNN,v1,A,por_ticker,AMZN,248,0.4809,0.1763,0.0524,0.4615,0.1687,0.2404,0.2145,0.0577,0.1675,0.2549,0.0,0.4662,0.5002,0.4798,1.0947,-0.336,12.1,0.0,87.9
CNN,v1,A,por_ticker,MSFT,248,-0.2472,-0.0569,0.0927,-0.2955,-0.0677,0.2517,0.2719,0.0478,0.2302,0.4059,0.0,0.3492,-0.1988,0.504,0.963,-0.3294,54.0,0.0,46.0
CNN,v1,A,por_ticker,GOOGL,248,-1.8932,-0.4513,0.0685,-1.9198,-0.4559,0.2308,0.2643,0.0492,0.246,0.3439,0.0,0.3485,-1.8664,0.4476,0.7252,-0.4978,31.9,0.0,68.1
CNN,v1,A,por_ticker,META,248,-0.1485,-0.0537,0.1169,-0.1874,-0.0674,0.2521,0.2814,0.0132,0.2117,0.2807,0.0,0.4755,-0.1095,0.4919,0.9797,-0.2323,16.9,0.0,83.1
CNN-LSTM,v1,A,global,GLOBAL,1736,-0.0917,-0.228,0.1285,-0.1312,-0.3094,0.2448,0.205,0.0484,0.268,0.4025,0.0,0.3318,-0.0522,0.5086,0.9901,-0.7183,53.9,0.0,46.1
CNN-LSTM,v1,A,por_ticker,AAPL,248,0.0062,0.002,0.1089,-0.0365,-0.0115,0.2036,0.1948,0.0363,0.2075,0.4077,0.0,0.2031,0.0488,0.496,1.0098,-0.3022,79.0,0.0,21.0
CNN-LSTM,v1,A,por_ticker,NVDA,248,-0.0814,-0.0391,0.0685,-0.0987,-0.0473,0.2165,0.1658,0.034,0.2758,0.2712,0.0,0.3784,-0.064,0.4798,0.9884,-0.4667,20.2,0.0,79.8
CNN-LSTM,v1,A,por_ticker,TSLA,248,0.3778,0.2474,0.1169,0.353,0.2295,0.3649,0.3463,0.029,0.3349,0.3851,0.3265,0.383,0.4026,0.5215,1.0778,-0.3152,37.1,15.7,47.2
CNN-LSTM,v1,A,por_ticker,AMZN,248,0.4764,0.1718,0.1694,0.4136,0.1475,0.2986,0.2872,0.0329,0.3825,0.4365,0.2114,0.2479,0.5392,0.4978,1.1081,-0.2946,72.6,10.1,17.3
CNN-LSTM,v1,A,por_ticker,MSFT,248,0.0315,0.0071,0.1613,-0.0577,-0.0129,0.3897,0.3738,0.0147,0.3454,0.3939,0.4471,0.3281,0.1208,0.5301,1.0267,-0.2415,52.4,26.2,21.4
CNN-LSTM,v1,A,por_ticker,GOOGL,248,-1.0443,-0.2727,0.1169,-1.0926,-0.2831,0.3608,0.3275,0.044,0.3884,0.4125,0.3134,0.3564,-0.9958,0.4858,0.8323,-0.3809,33.1,14.5,52.4
CNN-LSTM,v1,A,por_ticker,META,248,-0.4229,-0.1439,0.2702,-0.5131,-0.1721,0.3015,0.2835,0.0283,0.3486,0.4267,0.2034,0.2745,-0.3323,0.4513,0.9368,-0.4005,61.7,8.9,29.4
LR,v1,B,global,GLOBAL,1736,0.7557,4.9805,0.3802,0.6165,3.2995,0.4036,0.4036,0.0,0.3244,0.3173,0.5546,0.3391,0.8946,0.5203,1.2695,-0.453,20.7,51.7,27.5
LR,v1,B,por_ticker,AAPL,248,-0.3388,-0.0913,0.3952,-0.5133,-0.1347,0.3852,0.3852,0.0,0.2975,0.3308,0.5854,0.2393,-0.1649,0.5364,0.9544,-0.3056,27.8,55.6,16.5
LR,v1,B,por_ticker,NVDA,248,1.7766,1.1924,0.3387,1.6843,1.1023,0.3897,0.3897,0.0,0.3517,0.2128,0.537,0.4194,1.8682,0.5232,1.546,-0.1843,10.5,39.1,50.4
LR,v1,B,por_ticker,TSLA,248,0.6772,0.4438,0.2742,0.6144,0.3955,0.4214,0.4214,0.0,0.3499,0.2783,0.5636,0.4224,0.74,0.5074,1.1848,-0.2909,18.5,45.2,36.3
