modelo_a,modelo_b,dif,ic_lo,ic_hi,significativa
CNN,CNN-LSTM,-0.0437,-0.0642,-0.0225,True
CNN,LR,-0.106,-0.1389,-0.072,True
CNN,LSTM,-0.0221,-0.0466,0.0017,False
CNN,XGBoost,-0.0673,-0.1025,-0.0326,True
CNN-LSTM,LR,-0.0623,-0.0918,-0.0327,True
CNN-LSTM,LSTM,0.0216,0.0008,0.043,True
CNN-LSTM,XGBoost,-0.0236,-0.0563,0.008,False
LR,LSTM,0.0839,0.0541,0.1132,True
LR,XGBoost,0.0387,0.0087,0.0671,True
LSTM,XGBoost,-0.0452,-0.0801,-0.0142,True
