config_id,modelo,tipo,ticker,experimento,lookback,n_features,n_seeds,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
CNN-puro-filt,CNN,por_ticker,MSFT,B,60,10,3,0.2946,0.0,0.5161,0.3676,-0.0607,-0.343,-0.4136,-0.2121,0.4941,0.8838
CNN-puro-filt,CNN,por_ticker,GOOGL,B,60,10,3,0.3318,0.4719,0.5235,0.0,0.5281,-0.4756,2.0481,-0.0786,0.5207,1.5396
CNN-puro-filt,CNN,por_ticker,META,B,60,10,3,0.354,0.3396,0.3944,0.3281,0.255,0.116,0.9168,-0.2052,0.504,1.2435
CNN-puro-filt,CNN,global,GLOBAL,B,60,10,3,0.3682,0.2766,0.5571,0.2709,2.3346,-9.1974,0.8465,-0.4451,0.5296,1.3164
CNN-puro-filt,CNN,por_ticker,AAPL,C,60,3,3,0.3207,0.3158,0.5829,0.0635,-0.0249,-0.2527,-0.1207,-0.1693,0.5195,0.9619
CNN-puro-filt,CNN,por_ticker,NVDA,C,60,3,3,0.2526,0.3758,0.25,0.1319,-0.0052,-0.7081,-0.0176,-0.2368,0.4832,0.9964
CNN-puro-filt,CNN,por_ticker,TSLA,C,60,3,3,0.3143,0.3178,0.625,0.0,0.2015,-0.4912,0.5538,-0.2155,0.5536,1.2005
CNN-puro-filt,CNN,por_ticker,AMZN,C,60,3,3,0.1466,0.4398,0.0,0.0,0.21,0.0,0.7123,-0.1464,0.5479,1.1432
CNN-puro-filt,CNN,por_ticker,MSFT,C,60,3,3,0.2422,0.0,0.4469,0.2797,-0.2545,-0.5368,-2.0127,-0.3257,0.3804,0.5463
CNN-puro-filt,CNN,por_ticker,GOOGL,C,60,3,3,0.2082,0.0,0.2376,0.3871,-0.5307,-1.5344,-3.2801,-0.5802,0.4083,0.5439
CNN-puro-filt,CNN,por_ticker,META,C,60,3,3,0.3575,0.3091,0.4113,0.352,0.0051,-0.1339,0.0196,-0.2018,0.5,1.0047
CNN-puro-filt,CNN,global,GLOBAL,C,60,3,3,0.2948,0.4091,0.4754,0.0,7.9833,-3.5486,1.496,-0.2162,0.5548,1.4778
