ticker,p_sell,p_hold,p_buy,y_true,y_true_lbl,r_forward
AAPL,0.3951084091903969,0.2719277895312369,0.33296380127836617,1,HOLD,-0.002011505726320049
AAPL,0.37389414121930403,0.3008799716725901,0.3252258871081058,2,BUY,0.00671637533317459
AAPL,0.35642239271503084,0.30780539292603615,0.33577221435893295,0,SELL,-0.011453089516603522
AAPL,0.3607480609636208,0.27609241625769926,0.36315952277867997,1,HOLD,0.0020209201818137887
AAPL,0.3891550274185711,0.2725951500945413,0.33824982248688756,0,SELL,-0.024398977231404485
AAPL,0.3869658035282254,0.23722619282981647,0.37580800364195804,0,SELL,-0.010398045921389152
AAPL,0.3946096996125992,0.24690781751980356,0.3584824828675972,1,HOLD,-0.004789573821754948
AAPL,0.3715663430371645,0.2645226323154136,0.36391102464742187,2,BUY,0.019484732241861133
AAPL,0.3782282514444748,0.30739324169038484,0.3143785068651403,0,SELL,-0.04123882999012096
AAPL,0.3688697917022264,0.2834999962765665,0.34763021202120714,2,BUY,0.007506984902950754
AAPL,0.3608869182624976,0.29769624092293134,0.3414168408145711,0,SELL,-0.03243624709178038
AAPL,0.37489885336005135,0.28340587656083505,0.34169527007911354,1,HOLD,0.005330640517407009
AAPL,0.36472158688737777,0.3185748789867776,0.31670353412584457,1,HOLD,-0.0007596845483829761
AAPL,0.3610820848259972,0.3069601810117276,0.33195773416227514,1,HOLD,-0.003942348971352075
AAPL,0.32733532178054003,0.32428093213834785,0.3483837460811121,2,BUY,0.03128575899488104
AAPL,0.34367856252115225,0.2730170781293151,0.38330435934953266,2,BUY,0.035892052158562164
AAPL,0.3538750355020921,0.299926286108478,0.3461986783894301,1,HOLD,0.004606184498609191
AAPL,0.3534624015922177,0.31762935001219683,0.32890824839558547,0,SELL,-0.007422292718651752
AAPL,0.3602408266751783,0.317197905249895,0.32256126807492663,0,SELL,-0.006714557627923389
AAPL,0.36012215962265903,0.2965466322635024,0.3433312081138385,0,SELL,-0.03444240082847232
AAPL,0.36737935289677015,0.2658553549589727,0.36676529214425707,2,BUY,0.02079030004340246
AAPL,0.36042186246045477,0.3016188574992009,0.3379592800403443,1,HOLD,-0.0014185722272181526
AAPL,0.35963760234297376,0.32209787957831365,0.3182645180787126,1,HOLD,0.0032210325345983335
AAPL,0.36482070941308553,0.331062739240391,0.3041165513465236,0,SELL,-0.024260651424094306
AAPL,0.34460936586080776,0.3151116396713044,0.34027899446788784,1,HOLD,0.0011866721627969126
AAPL,0.340076836944054,0.3354541126248865,0.3244690504310596,2,BUY,0.021596827539519713
AAPL,0.348097664137189,0.3176624516579596,0.33423988420485146,2,BUY,0.018105290857913178
AAPL,0.3592716216059778,0.32424459868059685,0.3164837797134253,2,BUY,0.019482254180378637
AAPL,0.37298765829388364,0.33472813070352736,0.29228421100258895,2,BUY,0.012630506825246144
AAPL,0.3331561015872272,0.3620640656959613,0.3047798327168115,1,HOLD,-0.0005316395030391844
AAPL,0.36294777055377725,0.33790639861789645,0.2991458308283262,1,HOLD,0.0016348152823846033
AAPL,0.3618104618147226,0.34253553936552994,0.2956539988197474,1,HOLD,0.003912873750785833
AAPL,0.3488767869689002,0.34526607893938266,0.30585713409171716,1,HOLD,-0.0011396819437307112
AAPL,0.34796106986082065,0.29295534095914916,0.35908358918003025,1,HOLD,0.006292521115498759
AAPL,0.3555497725989409,0.2925809509989776,0.35186927640208154,1,HOLD,-0.00024290221370098827
AAPL,0.37355070499500304,0.2720750709108862,0.35437422409411073,0,SELL,-0.02741242223505759
AAPL,0.37708787914680025,0.2829860891023943,0.33992603175080544,0,SELL,-0.012812641569737163
AAPL,0.3640768766315345,0.24475606380289622,0.3911670595655694,2,BUY,0.018951168699580183
AAPL,0.4201725926774528,0.2514225810698905,0.3284048262526567,0,SELL,-0.015879594879338637
AAPL,0.3752034355757668,0.22310598826239883,0.4016905761618344,0,SELL,-0.008861605915058862
AAPL,0.38203448829873504,0.20178726530079966,0.41617824640046536,1,HOLD,-0.0008055957397364676
AAPL,0.4406925747608992,0.20899282307472813,0.35031460216437255,1,HOLD,-0.001740708014752158
AAPL,0.3965240800177889,0.18559535482308212,0.41788056515912897,2,BUY,0.015767610675535417
AAPL,0.38432018192875594,0.2163085149276319,0.3993713031436122,0,SELL,-0.04969413155181917
AAPL,0.38791209398576065,0.15211815190747488,0.45996975410676444,0,SELL,-0.029623889025018828
AAPL,0.4045667998580659,0.14977024613495124,0.44566295400698275,0,SELL,-0.017633190150835046
AAPL,0.41258496138625717,0.18220997580805218,0.4052050628056907,0,SELL,-0.03422271635173199
AAPL,0.3821861800971157,0.18214608942699606,0.4356677304758882,2,BUY,0.018007462482224464
AAPL,0.39213709442353195,0.22686226367748283,0.38100064189898514,1,HOLD,0.002386070684561593
AAPL,0.3643725057843166,0.24238564604791107,0.3932418481677723,0,SELL,-0.00614026484512594
AAPL,0.3500772734120932,0.2362733961923612,0.41364933039554563,2,BUY,0.011917863722647894
AAPL,0.3748993599986506,0.2467021384223264,0.37839850157902294,0,SELL,-0.005310358229997269
AAPL,0.3634114699729805,0.24579634311464357,0.3907921869123759,2,BUY,0.0192895473294916
AAPL,0.35862376853733946,0.25774345785592445,0.38363277360673603,2,BUY,0.011207340623392592
AAPL,0.35706694343905476,0.3024876785036753,0.34044537805726993,2,BUY,0.013589201690468958
AAPL,0.3375552567159348,0.3264474313052456,0.33599731197881966,0,SELL,-0.009971366623139497
AAPL,0.350309326507939,0.292815299708958,0.356875373783103,2,BUY,0.010418320079936597
