dataset,modelo,f1,sharpe,win_rate,profit_factor,max_dd,signal_buy,signal_hold,signal_sell,segundos
baseline,LR,0.3907,0.6828,0.5161,1.2141,-0.4208,16.65,57.03,26.32,0.5
baseline,XGBoost,0.3695,0.565,0.4996,1.1405,-0.5741,21.6,33.81,44.59,34.2
+cross_asset,LR,0.394,0.8229,0.521,1.2687,-0.4857,17.45,58.87,23.68,0.4
+cross_asset,XGBoost,0.3789,0.4282,0.4995,1.1098,-0.4912,22.52,38.65,38.82,34.6
