number,value,datetime_start,datetime_complete,duration,params_batch,params_bidir,params_class_weight,params_criterio,params_dropout,params_escalador,params_filtros_base,params_focal_gamma,params_grad_clip,params_hidden,params_kernel,params_label_smooth,params_layers,params_lookback,params_loss,params_lr,params_pooling,params_scheduler,params_weight_decay,state
21,0.34020526849314314,2026-08-14 23:21:56.231719,2026-08-14 23:22:05.851358,0 days 00:00:09.619639,512,False,balanced,val_f1,0.5981245511075683,robust,70,2.6544640525337933,0.5,221,3,,2,10,focal,0.00017538721588318982,last,cosine,0.0009482548804624966,COMPLETE
22,0.32574798950510997,2026-08-14 23:22:05.859410,2026-08-14 23:22:28.572071,0 days 00:00:22.712661,128,False,balanced,val_f1,0.14290966862803592,robust,29,,0.5,45,3,0.0518846866862585,2,20,ce,1.7633088515138756e-05,meanmax,plateau,1.643845340580847e-05,COMPLETE
23,0.34486370604176164,2026-08-14 23:22:28.580719,2026-08-14 23:22:57.292388,0 days 00:00:28.711669,256,True,none,val_f1_ma3,0.3249805287965201,minmax,46,2.684725193906288,5.0,83,7,,2,10,focal,0.0003708534834594607,last,plateau,1.9473249450858307e-05,COMPLETE
24,0.3222380905717864,2026-08-14 23:22:57.301501,2026-08-14 23:27:57.284247,0 days 00:04:59.982746,128,True,sqrt,val_f1,0.17827302937390502,standard,108,,1.0,154,5,0.049280406647821365,3,60,ce,0.00025296065274446107,last,none,0.00024002253099641174,COMPLETE
25,0.3198939922813685,2026-08-14 23:27:57.292406,2026-08-14 23:29:05.981957,0 days 00:01:08.689551,128,True,none,val_f1,0.26460154719524637,standard,54,2.9921239675644533,5.0,59,7,,3,40,focal,0.0003827084122025297,last,cosine,0.0023060124704315406,COMPLETE
26,0.32413573999275136,2026-08-14 23:29:05.993630,2026-08-14 23:29:50.518137,0 days 00:00:44.524507,256,True,none,val_f1_ma3,0.29961653401483535,minmax,25,2.511632559777629,5.0,41,7,,2,10,focal,0.000997574383849028,last,cosine,1.4074724254906945e-05,COMPLETE
27,0.35419349742307804,2026-08-14 23:29:50.527358,2026-08-14 23:30:17.985315,0 days 00:00:27.457957,128,False,balanced,val_loss,0.5327486105002439,robust,101,2.5021819454878593,0.5,199,3,,1,10,focal,0.0005297283176564238,last,cosine,0.0037024604061812036,COMPLETE
28,0.3047270539645308,2026-08-14 23:30:17.993938,2026-08-14 23:30:43.910867,0 days 00:00:25.916929,128,False,balanced,val_loss,0.4059633237152082,minmax,93,,0.5,130,7,0.12590807577702381,1,10,ce,0.0009109976191540773,last,cosine,0.00027314699324499254,COMPLETE
29,0.33915265688475965,2026-08-14 23:30:43.920440,2026-08-14 23:31:21.512120,0 days 00:00:37.591680,128,False,balanced,val_f1_ma3,0.5120609779197285,standard,117,0.5519943416107445,0.5,132,3,,2,10,focal,0.001014285704531009,last,none,0.0008278018937239046,COMPLETE
30,0.353338110395892,2026-08-14 23:31:21.519535,2026-08-14 23:32:06.844263,0 days 00:00:45.324728,128,False,balanced,val_loss,0.523991384625342,robust,101,2.159236682347041,0.5,249,3,,1,60,focal,0.00070848088056392,last,cosine,0.0027139951513394534,COMPLETE
