number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_escalador,params_l1_ratio,params_penalty,state
36,0.3366734090430142,2026-08-15 00:16:22.917512,2026-08-15 00:16:23.359144,0 days 00:00:00.441632,0.0004185697392909356,balanced,robust,,l2,COMPLETE
37,0.18881213598808075,2026-08-15 00:16:23.414516,2026-08-15 00:16:23.574364,0 days 00:00:00.159848,0.00010497918438524268,balanced,robust,0.5121469690533348,elasticnet,COMPLETE
38,0.3364658026985358,2026-08-15 00:16:23.580842,2026-08-15 00:16:24.025138,0 days 00:00:00.444296,0.00010299947644681013,balanced,robust,,l2,COMPLETE
39,0.3361868836075499,2026-08-15 00:16:24.123263,2026-08-15 00:16:24.577957,0 days 00:00:00.454694,0.00013595134662196197,balanced,robust,,l2,COMPLETE
40,0.3364658026985358,2026-08-15 00:16:24.659984,2026-08-15 00:16:25.103438,0 days 00:00:00.443454,0.00010241351764471082,balanced,robust,,l2,COMPLETE
41,0.3379031605459666,2026-08-15 00:16:25.110521,2026-08-15 00:16:25.554470,0 days 00:00:00.443949,0.0001464328846329171,balanced,robust,,l2,COMPLETE
42,0.3357122614064492,2026-08-15 00:16:25.596457,2026-08-15 00:16:26.042368,0 days 00:00:00.445911,0.000644663359699192,balanced,robust,,l2,COMPLETE
43,0.28166028456297826,2026-08-15 00:16:26.048395,2026-08-15 00:16:26.495976,0 days 00:00:00.447581,0.0001324010844609675,none,robust,,l2,COMPLETE
44,0.18881213598808075,2026-08-15 00:16:26.592765,2026-08-15 00:16:26.761946,0 days 00:00:00.169181,0.0005892588565110694,none,robust,,l1,COMPLETE
45,0.3364720954746719,2026-08-15 00:16:26.768217,2026-08-15 00:16:27.227972,0 days 00:00:00.459755,0.00010737332247046417,balanced,robust,,l2,COMPLETE
46,0.28813894448308863,2026-08-15 00:16:27.249209,2026-08-15 00:16:27.549918,0 days 00:00:00.300709,0.006331657620392352,none,standard,,l1,COMPLETE
47,0.31707235659502825,2026-08-15 00:16:27.570757,2026-08-15 00:16:28.127949,0 days 00:00:00.557192,344.9329336031796,none,robust,,l2,COMPLETE
48,0.32139761391193394,2026-08-15 00:16:28.133929,2026-08-15 00:16:35.087317,0 days 00:00:06.953388,59.21416079179743,none,robust,0.41476197469377063,elasticnet,COMPLETE
49,0.18881213598808075,2026-08-15 00:16:35.094678,2026-08-15 00:16:35.231145,0 days 00:00:00.136467,0.0005856884653850386,none,standard,0.5794770921495668,elasticnet,COMPLETE
50,0.3230782864396983,2026-08-15 00:16:35.236866,2026-08-15 00:16:35.674122,0 days 00:00:00.437256,0.009140728773905083,balanced,standard,,l2,COMPLETE
51,0.3375513604572527,2026-08-15 00:16:35.680729,2026-08-15 00:16:36.117015,0 days 00:00:00.436286,0.00018823049990228475,balanced,robust,,l2,COMPLETE
52,0.33286403819149535,2026-08-15 00:16:36.124495,2026-08-15 00:16:36.572674,0 days 00:00:00.448179,0.0018050829165118254,balanced,robust,,l2,COMPLETE
53,0.3368334170084717,2026-08-15 00:16:36.579099,2026-08-15 00:16:37.015678,0 days 00:00:00.436579,0.00010493924647968672,balanced,robust,,l2,COMPLETE
54,0.33402635347698073,2026-08-15 00:16:37.022379,2026-08-15 00:16:37.466979,0 days 00:00:00.444600,0.00011554146807029777,balanced,robust,,l2,COMPLETE
55,0.3361855531710993,2026-08-15 00:16:37.473777,2026-08-15 00:16:37.914435,0 days 00:00:00.440658,0.00013672941861761172,balanced,robust,,l2,COMPLETE
56,0.33363975946132957,2026-08-15 00:16:37.922009,2026-08-15 00:16:38.358491,0 days 00:00:00.436482,0.00012237996434002067,balanced,robust,,l2,COMPLETE
57,0.31073505771598525,2026-08-15 00:16:38.365879,2026-08-15 00:16:45.745462,0 days 00:00:07.379583,801.9638384826379,balanced,robust,,l1,COMPLETE
58,0.333698021462106,2026-08-15 00:16:45.752386,2026-08-15 00:16:46.155941,0 days 00:00:00.403555,0.00021616336513527747,balanced,standard,,l2,COMPLETE
59,0.2909127212551481,2026-08-15 00:16:46.162121,2026-08-15 00:16:46.564148,0 days 00:00:00.402027,0.00012312503700967223,none,standard,,l2,COMPLETE
