number,value,datetime_start,datetime_complete,duration,params_batch,params_bidir,params_class_weight,params_criterio,params_dropout,params_escalador,params_focal_gamma,params_grad_clip,params_hidden,params_label_smooth,params_layers,params_lookback,params_loss,params_lr,params_pooling,params_scheduler,params_weight_decay,state
21,0.3201351381735057,2026-08-14 22:03:51.478850,2026-08-14 22:04:12.346315,0 days 00:00:20.867465,128,False,none,val_f1_ma3,0.4463677755436062,standard,0.9539942920035642,1.0,198,,2,10,focal,1.2107762872143419e-05,last,cosine,0.0007070472286699655,COMPLETE
22,0.2996917051356718,2026-08-14 22:04:12.354267,2026-08-14 22:04:14.266512,0 days 00:00:01.912245,512,False,balanced,val_f1,0.5534996287063774,standard,2.5071336214950284,1.0,16,,2,20,focal,0.0005648275259793386,last,cosine,5.790221992768041e-06,PRUNED
23,0.26064009025600743,2026-08-14 22:04:14.272467,2026-08-14 22:04:16.445148,0 days 00:00:02.172681,512,False,none,val_loss,0.25135526970272876,robust,,1.0,58,0.007309933569618976,2,60,ce,0.0018457982348362018,meanmax,none,6.485888757042121e-05,PRUNED
24,0.3385819422744174,2026-08-14 22:04:16.452320,2026-08-14 22:04:26.465884,0 days 00:00:10.013564,256,False,sqrt,val_f1,0.16244680388613225,robust,2.575549661417479,0.5,47,,3,40,focal,0.00039379024774342916,last,plateau,0.00011057854100925238,COMPLETE
25,0.3408591109999967,2026-08-14 22:04:26.474155,2026-08-14 22:04:46.188823,0 days 00:00:19.714668,128,True,balanced,val_loss,0.5190213465990176,robust,1.4886171958718442,0.5,31,,1,10,focal,0.0006315502114338533,attn,none,0.0027902268281251668,COMPLETE
26,0.3478462580940919,2026-08-14 22:04:46.196175,2026-08-14 22:05:22.830291,0 days 00:00:36.634116,64,True,balanced,val_loss,0.5480596108862202,robust,1.5754729520377904,0.5,40,,1,10,focal,0.0003671388489839614,attn,none,0.009648666135029417,COMPLETE
27,0.34691310075556925,2026-08-14 22:05:22.837450,2026-08-14 22:06:03.409699,0 days 00:00:40.572249,64,False,balanced,val_loss,0.528403815927225,robust,1.6022132699233265,0.5,20,,1,10,focal,0.0006482767691329801,attn,none,0.00808228358004698,COMPLETE
28,0.29810031772030887,2026-08-14 22:06:03.416926,2026-08-14 22:07:01.960713,0 days 00:00:58.543787,64,False,balanced,val_f1_ma3,0.3659952396341939,robust,1.5605080363189212,0.5,25,,1,20,focal,0.0009166185323205405,attn,plateau,0.02137303103765555,COMPLETE
29,0.26310909119717896,2026-08-14 22:07:01.968325,2026-08-14 22:07:08.418558,0 days 00:00:06.450233,64,False,none,val_loss,0.5671106546359986,robust,1.530034484330929,0.5,26,,1,10,focal,0.0005889936660390598,attn,none,0.0059007345326552415,PRUNED
30,0.31188042066580585,2026-08-14 22:07:08.425669,2026-08-14 22:07:23.782470,0 days 00:00:15.356801,128,True,balanced,val_loss,0.33057808532580085,robust,1.7041409254067694,5.0,63,,2,20,focal,5.9535657579064136e-05,attn,cosine,0.0014269548864122284,PRUNED
31,0.31146365891380967,2026-08-14 22:07:23.788674,2026-08-14 22:07:33.401865,0 days 00:00:09.613191,128,True,balanced,val_f1_ma3,0.4431550283666506,robust,1.4117609292843076,0.5,30,,2,10,focal,0.0003718493066164735,attn,cosine,0.013948625261820656,PRUNED
32,0.30440837766287643,2026-08-14 22:07:33.407809,2026-08-14 22:07:37.540897,0 days 00:00:04.133088,128,True,balanced,val_loss,0.5671666318779052,robust,1.4558386714852252,0.5,29,,1,40,focal,0.00030547983930401663,attn,none,0.00038383519285820224,PRUNED
33,0.31306137624037117,2026-08-14 22:07:37.547257,2026-08-14 22:07:52.930703,0 days 00:00:15.383446,64,True,balanced,val_loss,0.4545740236410164,robust,,1.0,31,0.19372702028341737,1,20,ce,0.00044143927292272203,attn,none,0.036583711736650384,PRUNED
