modelo,Exp_A_filt,Exp_A_all,Exp_A_Δ,Exp_B_filt,Exp_B_all,Exp_B_Δ,Exp_C_filt,Exp_C_all,Exp_C_Δ
LogisticRegression,-0.5358,-0.6928,-0.157,-0.5511,-0.4191,0.132,-0.3887,-0.4998,-0.1111
XGBoost,-0.6727,-0.441,0.2317,-0.686,-0.4416,0.2444,-0.8646,-0.4685,0.3961
LSTM,-0.6395,-0.4488,0.1907,-0.3761,-0.4064,-0.0303,-0.7041,-0.6315,0.0726
CNN-LSTM,-0.8892,-0.4713,0.4179,-0.5113,-0.457,0.0543,-0.6706,-0.442,0.2286
CNN,-0.4033,-0.5138,-0.1105,-0.4451,-0.4343,0.0108,-0.5947,-0.6664,-0.0717
