modelo,Exp_A_filt,Exp_A_all,Exp_A_Δ,Exp_B_filt,Exp_B_all,Exp_B_Δ,Exp_C_filt,Exp_C_all,Exp_C_Δ
LogisticRegression,0.507,0.5095,0.0025,0.4898,0.5156,0.0258,0.521,0.5022,-0.0188
XGBoost,0.5082,0.5156,0.0074,0.5067,0.4996,-0.0071,0.464,0.4952,0.0312
LSTM,0.5458,0.5074,-0.0384,0.5494,0.4914,-0.058,0.4972,0.4959,-0.0013
CNN-LSTM,0.488,0.5025,0.0145,0.4981,0.5043,0.0062,0.4708,0.4968,0.026
CNN,0.5471,0.5291,-0.018,0.5296,0.5102,-0.0194,0.5017,0.4944,-0.0073
