modelo,Exp_A_filt,Exp_A_all,Exp_A_Δ,Exp_B_filt,Exp_B_all,Exp_B_Δ,Exp_C_filt,Exp_C_all,Exp_C_Δ
LogisticRegression,0.3562,0.38,0.0238,0.3912,0.4167,0.0255,0.3748,0.3955,0.0207
XGBoost,0.3825,0.3917,0.0092,0.3694,0.3903,0.0209,0.362,0.3835,0.0215
LSTM,0.2996,0.3388,0.0392,0.3345,0.37,0.0355,0.3763,0.3702,-0.0061
CNN-LSTM,0.3394,0.3283,-0.0111,0.3585,0.378,0.0195,0.3723,0.346,-0.0263
CNN,0.3134,0.3483,0.0349,0.3682,0.3434,-0.0248,0.3621,0.3727,0.0106
