modelo,exp,v1,v3,delta
LR,A,0.3545,0.3411,-0.0134
LR,B,0.3956,0.3514,-0.0442
LR,C,0.3573,0.3518,-0.0055
XGBoost,A,0.3724,0.3678,-0.0046
XGBoost,B,0.3692,0.3637,-0.0055
XGBoost,C,0.3612,0.3483,-0.0129
LSTM,A,0.3657,0.3427,-0.023
LSTM,B,0.3501,0.3517,0.0016
LSTM,C,0.3257,0.3515,0.0258
CNN,A,0.3146,0.2917,-0.0229
CNN,B,0.3368,0.3494,0.0126
CNN,C,0.2799,0.3144,0.0345
CNN-LSTM,A,0.3332,0.3018,-0.0314
CNN-LSTM,B,0.3472,0.3729,0.0257
CNN-LSTM,C,0.3601,0.3292,-0.0309
