modelo,exp,v1,v3,delta
LR,A,0.361,1.16,0.799
LR,B,1.252,0.377,-0.875
LR,C,0.683,0.572,-0.111
XGBoost,A,0.794,0.521,-0.273
XGBoost,B,0.418,0.626,0.208
XGBoost,C,0.399,0.125,-0.274
LSTM,A,0.17,0.152,-0.018
LSTM,B,0.433,0.887,0.454
LSTM,C,0.163,0.24,0.077
CNN,A,0.267,0.86,0.593
CNN,B,0.121,0.284,0.163
CNN,C,-0.317,0.394,0.711
CNN-LSTM,A,0.19,-0.263,-0.453
CNN-LSTM,B,0.09,0.427,0.337
CNN-LSTM,C,0.292,0.409,0.117
