modelo,exp,v1,v3,delta
LR,A,0.38,0.3758,-0.0042
LR,B,0.4167,0.3549,-0.0618
LR,C,0.3955,0.3509,-0.0446
XGBoost,A,0.3917,0.3716,-0.0201
XGBoost,B,0.3903,0.364,-0.0263
XGBoost,C,0.3835,0.335,-0.0485
LSTM,A,0.3388,0.3713,0.0325
LSTM,B,0.37,0.399,0.029
LSTM,C,0.3702,0.3626,-0.0076
CNN,A,0.3483,0.3605,0.0122
CNN,B,0.3434,0.3584,0.015
CNN,C,0.3727,0.3773,0.0046
CNN-LSTM,A,0.3283,0.2856,-0.0427
CNN-LSTM,B,0.378,0.3625,-0.0155
CNN-LSTM,C,0.346,0.3742,0.0282
