modelo,A,B,C
LR,0.4109,0.3847,0.4007
XGBoost,0.3961,0.3862,0.373
LSTM,0.3891,0.37,0.3702
CNN,0.3606,0.3434,0.3727
CNN-LSTM,0.3764,0.3835,0.371
