modelo,A,B,C
LR,0.4113,0.3915,0.3585
XGBoost,0.3761,0.3696,0.3518
LSTM,0.3137,0.3527,0.3257
CNN,0.3778,0.3317,0.2799
CNN-LSTM,0.3677,0.3424,0.3557
